team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.83683.t.5,Karan's Team,2.25,5.5,2.0,1.75,4.75,7.25,6.125,5.875,9.0,4.94444444444
364.l.83683.t.6,Underperformers,6.0,6.25,2.875,2.25,2.875,6.0,4.375,6.75,8.125,5.05555555556
364.l.83683.t.4,Shlokemon Go,6.25,4.0,7.25,8.25,5.75,4.125,4.625,1.875,3.75,5.09722222222
364.l.83683.t.7,Peter's Team,10.0,4.0,6.0,10.0,1.0,6.0,4.0,1.75,5.0,5.30555555556
364.l.83683.t.2,The Uni-Bros,4.5,8.0,7.375,4.75,6.375,7.0,2.375,4.125,3.625,5.34722222222
364.l.83683.t.1,Bloomfield Bombers,4.0,6.25,3.75,5.0,4.0,5.0,6.75,6.5,7.25,5.38888888889
364.l.83683.t.9,Maverick,4.75,4.25,7.0,7.25,6.75,3.125,7.375,4.625,4.0,5.45833333333
364.l.83683.t.8,adam's Team,4.25,5.5,9.0,4.5,6.875,5.25,6.0,8.625,2.0,5.77777777778
364.l.83683.t.10,Dream Team,6.75,4.5,7.25,5.5,7.25,5.5,5.875,7.25,3.75,5.95833333333
364.l.83683.t.3,Ankit's Team,6.25,6.75,2.5,5.75,9.375,5.75,7.5,7.625,8.5,6.66666666667
