,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
8,1,364.l.83683.t.7,Peter's Team,71.0,109.0,0.651376146789,159.0,337.0,0.471810089021,62,411,273,99,43,39,62,10.0,2.0,7.0,10.0,1.0,1.0,2.5,1.0,4.0,0.561593117905
1,1,364.l.83683.t.5,Karan's Team,116.0,144.0,0.805555555556,211.0,539.0,0.39146567718,83,583,187,105,39,12,83,3.0,10.0,2.0,3.0,9.0,10.0,5.0,9.5,9.0,0.598510616368
2,1,364.l.83683.t.2,The Uni-Bros,92.0,121.0,0.760330578512,204.0,457.0,0.446389496718,52,549,220,114,45,28,52,8.0,8.0,9.0,6.0,5.0,7.0,1.0,3.5,2.0,0.603360037615
0,1,364.l.83683.t.1,Bloomfield Bombers,79.0,104.0,0.759615384615,199.0,437.0,0.455377574371,80,520,246,112,25,28,80,9.0,6.0,3.0,7.0,3.0,8.0,10.0,3.5,8.0,0.607496479493
9,1,364.l.83683.t.8,adam's Team,94.0,120.0,0.783333333333,212.0,467.0,0.453961456103,44,565,212,93,29,19,44,6.0,7.0,10.0,4.0,7.0,3.0,8.0,8.0,1.0,0.618647394718
4,1,364.l.83683.t.3,Ankit's Team,99.0,130.0,0.761538461538,202.0,424.0,0.47641509434,78,553,165,161,43,12,78,7.0,1.0,4.0,5.0,10.0,5.0,2.5,9.5,7.0,0.618976777939
7,1,364.l.83683.t.9,Maverick,93.0,117.0,0.794871794872,183.0,400.0,0.4575,57,497,200,87,26,25,57,4.0,4.0,8.0,8.0,8.0,4.0,9.0,5.0,3.0,0.626185897436
3,1,364.l.83683.t.4,Shlokemon Go,107.0,130.0,0.823076923077,168.0,387.0,0.434108527132,66,485,218,95,35,34,66,2.0,9.0,6.0,9.0,6.0,2.0,6.0,2.0,5.0,0.628592725104
5,1,364.l.83683.t.10,Dream Team,74.0,94.0,0.787234042553,228.0,484.0,0.471074380165,74,587,229,109,41,24,74,5.0,3.0,5.0,2.0,4.0,9.0,4.0,6.0,6.0,0.629154211359
6,1,364.l.83683.t.6,Underperformers,149.0,179.0,0.832402234637,264.0,578.0,0.456747404844,85,735,254,115,31,20,85,1.0,5.0,1.0,1.0,2.0,6.0,7.0,7.0,10.0,0.644574819741
