,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
7,1,364.l.83683.t.9,Maverick,102.0,134.0,0.761194029851,190.0,468.0,0.405982905983,67,526,180,106,31,13,67,9.0,10.0,6.5,8.0,8.0,10.0,9.0,9.5,4.5,0.583588467917
6,1,364.l.83683.t.7,Peter's Team,98.0,143.0,0.685314685315,179.0,346.0,0.517341040462,76,474,282,150,37,37,76,10.0,1.0,2.0,10.0,1.0,1.0,5.5,2.0,9.0,0.601327862889
4,1,364.l.83683.t.3,Ankit's Team,108.0,135.0,0.8,187.0,421.0,0.444180522565,70,535,182,129,25,22,70,4.0,7.0,5.0,7.0,7.0,4.0,10.0,6.0,6.0,0.622090261283
1,1,364.l.83683.t.6,Underperformers,114.0,144.0,0.791666666667,249.0,529.0,0.470699432892,58,686,187,123,46,13,58,7.0,5.0,9.5,1.0,6.0,5.5,1.0,9.5,1.5,0.631183049779
2,1,364.l.83683.t.2,The Uni-Bros,90.0,110.0,0.818181818182,194.0,435.0,0.445977011494,63,522,160,115,38,25,63,3.0,6.0,8.0,9.0,10.0,8.0,4.0,4.0,3.0,0.632079414838
9,1,364.l.83683.t.10,Dream Team,69.0,88.0,0.784090909091,224.0,455.0,0.492307692308,73,577,212,123,45,21,73,8.0,3.0,4.0,6.0,2.0,5.5,2.5,7.0,7.0,0.638199300699
5,1,364.l.83683.t.4,Shlokemon Go,103.0,129.0,0.798449612403,208.0,435.0,0.47816091954,74,578,199,142,45,40,74,5.0,4.0,3.0,5.0,5.0,3.0,2.5,1.0,8.0,0.638305265972
3,1,364.l.83683.t.5,Karan's Team,102.0,121.0,0.842975206612,232.0,527.0,0.440227703985,67,622,172,119,37,16,67,2.0,9.0,6.5,4.0,9.0,7.0,5.5,8.0,4.5,0.641601455298
8,1,364.l.83683.t.8,adam's Team,107.0,135.0,0.792592592593,237.0,477.0,0.496855345912,58,623,209,112,33,34,58,6.0,2.0,9.5,3.0,3.0,9.0,8.0,3.0,1.5,0.644723969252
0,1,364.l.83683.t.1,Bloomfield Bombers,117.0,137.0,0.85401459854,226.0,513.0,0.440545808967,92,646,206,146,34,24,92,1.0,8.0,1.0,2.0,4.0,2.0,7.0,5.0,10.0,0.647280203754
