date,first_name,last_name,position,team,team_key,timestamp,type
2016-10-30,James,Ennis III,"SG,SF",Adam Silver,364.l.8091.t.1,"Sun, 30 Oct 2016 00:00:34",add
2016-10-30,Terrence,Jones,"SF,PF",Adam Silver,364.l.8091.t.1,"Sun, 30 Oct 2016 00:00:34",drop
2016-10-29,Matthew,Dellavedova,"PG,SG",Browshakalaka,364.l.8091.t.14,"Sat, 29 Oct 2016 22:43:34",add
2016-10-29,Emmanuel,Mudiay,PG,Browshakalaka,364.l.8091.t.14,"Sat, 29 Oct 2016 22:43:34",drop
2016-10-29,John,Henson,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,"Sat, 29 Oct 2016 22:31:38",add
2016-10-29,Al,Jefferson,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,"Sat, 29 Oct 2016 22:31:38",drop
2016-10-28,T.J.,Warren,SF,Stream Team,364.l.8091.t.9,"Fri, 28 Oct 2016 21:35:43",add
2016-10-28,Roy,Hibbert,C,Stream Team,364.l.8091.t.9,"Fri, 28 Oct 2016 21:35:43",drop
2016-10-27,Roy,Hibbert,C,Stream Team,364.l.8091.t.9,"Thu, 27 Oct 2016 14:53:06",add
2016-10-27,J.R.,Smith,"SG,SF",Stream Team,364.l.8091.t.9,"Thu, 27 Oct 2016 14:53:06",drop
2016-10-27,Wade,Baldwin IV,PG,Trinh,364.l.8091.t.10,"Thu, 27 Oct 2016 06:36:14",add
2016-10-26,Patty,Mills,PG,D-League All-Stars,364.l.8091.t.5,"Wed, 26 Oct 2016 23:08:53",add
2016-10-26,Tony,Parker,PG,D-League All-Stars,364.l.8091.t.5,"Wed, 26 Oct 2016 23:08:53",drop
2016-10-26,Bojan,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Wed, 26 Oct 2016 23:05:27",add
2016-10-26,Alex,Len,"PF,C",D-League All-Stars,364.l.8091.t.5,"Wed, 26 Oct 2016 23:05:11",drop
2016-10-26,Mirza,Teletovic,"SF,PF",D-League All-Stars,364.l.8091.t.5,"Wed, 26 Oct 2016 23:04:24",drop
2016-10-26,Justin,Hamilton,"PF,C",#Hwaiting,364.l.8091.t.2,"Wed, 26 Oct 2016 22:30:18",add
2016-10-26,Matthew,Dellavedova,"PG,SG",#Hwaiting,364.l.8091.t.2,"Wed, 26 Oct 2016 22:30:18",drop
2016-10-26,Sergio,Rodriguez,PG,Adam Silver,364.l.8091.t.1,"Wed, 26 Oct 2016 22:23:10",add
2016-10-26,Kyle,Anderson,"SG,SF",Adam Silver,364.l.8091.t.1,"Wed, 26 Oct 2016 22:23:10",drop
2016-10-26,E'Twaun,Moore,"PG,SG",Trinh,364.l.8091.t.10,"Wed, 26 Oct 2016 04:22:16",add
2016-10-26,Patrick,Beverley,"PG,SG",Trinh,364.l.8091.t.10,"Wed, 26 Oct 2016 04:22:16",drop
2016-10-26,Jonathon,Simmons,"SG,SF",Cool Cats,364.l.8091.t.4,"Wed, 26 Oct 2016 01:08:44",add
2016-10-26,Joe,Johnson,"SG,SF",One for the Mainland,364.l.8091.t.7,"Wed, 26 Oct 2016 00:27:14",add
2016-10-26,Kelly,Oubre Jr.,SF,One for the Mainland,364.l.8091.t.7,"Wed, 26 Oct 2016 00:27:14",drop
2016-10-25,Tony,Parker,PG,D-League All-Stars,364.l.8091.t.5,"Tue, 25 Oct 2016 01:18:31",add
2016-10-24,Andrew,Bogut,C,Forgot About Dray,364.l.8091.t.3,"Mon, 24 Oct 2016 19:42:36",add
2016-10-23,Kyle,Anderson,"SG,SF",Adam Silver,364.l.8091.t.1,"Sun, 23 Oct 2016 23:30:59",add
2016-10-23,Jamal,Murray,SG,Adam Silver,364.l.8091.t.1,"Sun, 23 Oct 2016 23:30:59",drop
2016-10-23,Mason,Plumlee,"PF,C",Icin On The Beefcake,364.l.8091.t.11,"Sun, 23 Oct 2016 19:33:59",add
2016-10-23,Jared,Sullinger,"PF,C",Icin On The Beefcake,364.l.8091.t.11,"Sun, 23 Oct 2016 19:33:59",drop
2016-10-23,Clint,Capela,"PF,C",#Hwaiting,364.l.8091.t.2,"Sun, 23 Oct 2016 16:08:09",add
2016-10-23,Brandon,Jennings,PG,#Hwaiting,364.l.8091.t.2,"Sun, 23 Oct 2016 16:08:09",drop
2016-10-23,Brandon,Jennings,PG,#Hwaiting,364.l.8091.t.2,"Sun, 23 Oct 2016 01:58:21",add
2016-10-19,Josh,Richardson,"SG,SF",Browshakalaka,364.l.8091.t.14,"Wed, 19 Oct 2016 19:02:09",add
2016-10-19,Tony,Snell,"SG,SF",Browshakalaka,364.l.8091.t.14,"Wed, 19 Oct 2016 19:02:09",drop
2016-10-18,Terrence,Jones,"SF,PF",Adam Silver,364.l.8091.t.1,"Tue, 18 Oct 2016 22:11:58",add
2016-10-18,Clint,Capela,"PF,C",Adam Silver,364.l.8091.t.1,"Tue, 18 Oct 2016 22:11:58",drop
2016-10-17,Tony,Snell,"SG,SF",Browshakalaka,364.l.8091.t.14,"Mon, 17 Oct 2016 02:44:58",add
2016-10-17,Arron,Afflalo,"SG,SF",Browshakalaka,364.l.8091.t.14,"Mon, 17 Oct 2016 02:44:58",drop
2016-10-17,Joakim,Noah,"PF,C",Browshakalaka,364.l.8091.t.14,"Mon, 17 Oct 2016 01:02:35",add
2016-10-17,Brandon,Jennings,PG,Browshakalaka,364.l.8091.t.14,"Mon, 17 Oct 2016 01:02:35",drop
2016-10-16,Brandon,Jennings,PG,Browshakalaka,364.l.8091.t.14,"Sun, 16 Oct 2016 21:02:57",add
2016-10-16,Ish,Smith,PG,Stream Team,364.l.8091.t.9,"Sun, 16 Oct 2016 18:57:54",add
2016-10-16,Dante,Exum,"PG,SG",Stream Team,364.l.8091.t.9,"Sun, 16 Oct 2016 18:57:54",drop
2016-10-16,Matthew,Dellavedova,"PG,SG",#Hwaiting,364.l.8091.t.2,"Sun, 16 Oct 2016 17:00:41",add
2016-10-16,Michael,Carter-Williams,PG,#Hwaiting,364.l.8091.t.2,"Sun, 16 Oct 2016 17:00:41",drop
