,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
0,1,364.l.8091.t.1,#TrustTheProcess,86.0,107.0,0.803738317757,200.0,455.0,0.43956043956,74,560,201,109,35,23,74,6.0,8.0,4.0,3.0,7.0,11.0,12.0,7.0,11.0,0.621649378659
1,1,364.l.8091.t.3,Forgot About Dray,87.0,138.0,0.630434782609,163.0,309.0,0.527508090615,57,433,261,80,39,40,57,14.0,1.0,12.0,13.0,1.0,6.0,7.0,1.0,3.0,0.578971436612
2,1,364.l.8091.t.2,#Hwaiting,101.0,131.0,0.770992366412,173.0,384.0,0.450520833333,73,483,207,92,45,33,73,9.0,5.0,5.5,7.0,6.0,4.0,2.0,2.0,9.5,0.610756599873
3,1,364.l.8091.t.14,Browshakalaka,75.0,92.0,0.815217391304,156.0,365.0,0.427397260274,71,423,175,96,42,24,71,5.0,10.0,7.5,14.0,11.0,2.5,3.0,5.5,7.5,0.621307325789
4,1,364.l.8091.t.4,Cool Cats,138.0,163.0,0.846625766871,207.0,487.0,0.425051334702,80,593,179,108,39,13,80,2.0,11.0,1.0,2.0,9.0,12.0,7.0,13.0,14.0,0.635838550787
5,1,364.l.8091.t.13,Vogelmagic,102.0,124.0,0.822580645161,174.0,387.0,0.449612403101,77,490,145,115,32,17,77,3.0,6.0,3.0,6.0,12.0,9.0,13.0,11.0,12.0,0.636096524131
6,1,364.l.8091.t.5,D-League All-Stars,96.0,117.0,0.820512820513,149.0,358.0,0.416201117318,50,450,125,104,28,15,50,4.0,14.0,14.0,11.0,14.0,13.0,14.0,12.0,1.0,0.618356968916
7,1,364.l.8091.t.12,Valar Moredunkis,123.0,167.0,0.736526946108,193.0,433.0,0.445727482679,79,544,208,111,53,30,79,11.0,7.0,2.0,4.0,5.0,10.0,1.0,3.0,13.0,0.591127214393
8,1,364.l.8091.t.6,Jimmy & Jimmy Co.,68.0,98.0,0.69387755102,175.0,377.0,0.464190981432,64,456,177,91,38,10,64,13.0,4.0,11.0,10.0,10.0,5.0,9.0,14.0,4.0,0.579034266226
9,1,364.l.8091.t.11,If All Ellis Fails,110.0,140.0,0.785714285714,164.0,382.0,0.429319371728,73,478,215,125,36,24,73,7.0,9.0,5.5,9.0,4.0,8.0,11.0,5.5,9.5,0.607516828721
10,1,364.l.8091.t.7,One for the Mainland,137.0,177.0,0.774011299435,246.0,498.0,0.493975903614,71,683,232,100,39,21,71,8.0,3.0,7.5,1.0,2.0,14.0,7.0,8.0,7.5,0.633993601525
11,1,364.l.8091.t.10,Trinh,60.0,82.0,0.731707317073,166.0,395.0,0.420253164557,69,434,142,96,41,20,69,12.0,12.0,9.0,12.0,13.0,2.5,4.0,9.0,6.0,0.575980240815
12,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,79.0,107.0,0.738317757009,202.0,402.0,0.502487562189,68,524,184,70,40,27,68,10.0,2.0,10.0,5.0,8.0,7.0,5.0,4.0,5.0,0.620402659599
13,1,364.l.8091.t.9,Optimus Dimes,112.0,130.0,0.861538461538,170.0,405.0,0.41975308642,55,481,228,99,37,18,55,1.0,13.0,13.0,8.0,3.0,1.0,10.0,10.0,2.0,0.640645773979
