,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
3,1,364.l.8091.t.3,Forgot About Dray,85.0,135.0,0.62962962963,154.0,314.0,0.490445859873,63,419,245,97,37,37,63,14.0,2.0,9.5,14.0,1.0,1.0,5.0,1.0,5.5,0.560037744751
9,1,364.l.8091.t.11,Icin On The Beefcake,111.0,145.0,0.765517241379,203.0,456.0,0.445175438596,80,553,242,131,32,36,80,11.0,11.0,2.0,5.0,2.0,9.0,11.0,2.0,13.0,0.605346339988
12,1,364.l.8091.t.9,Optimus Dimes,58.0,77.0,0.753246753247,169.0,355.0,0.476056338028,63,424,188,74,41,24,63,12.0,4.0,9.5,13.0,9.0,5.0,3.0,7.0,5.5,0.614651545637
11,1,364.l.8091.t.10,Trinh,64.0,88.0,0.727272727273,195.0,375.0,0.52,62,517,152,75,38,25,62,13.0,1.0,11.0,9.0,14.0,4.0,4.0,5.0,4.0,0.623636363636
8,1,364.l.8091.t.7,One for the Mainland,104.0,132.0,0.787878787879,210.0,453.0,0.46357615894,57,565,194,88,35,25,57,10.0,8.0,12.5,4.0,8.0,2.0,6.5,5.0,2.5,0.62572747341
10,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,73.0,92.0,0.79347826087,197.0,424.0,0.464622641509,49,503,221,65,28,25,49,9.0,6.0,14.0,11.0,4.0,6.0,13.0,5.0,1.0,0.629050451189
13,1,364.l.8091.t.14,Browshakalaka,106.0,133.0,0.796992481203,217.0,468.0,0.463675213675,64,584,197,108,33,22,64,8.0,7.0,8.0,2.0,7.0,13.0,10.0,8.0,7.0,0.630333847439
7,1,364.l.8091.t.12,Valar Moredunkis,132.0,162.0,0.814814814815,179.0,395.0,0.453164556962,67,529,171,126,35,13,67,6.0,9.0,7.0,7.0,11.0,10.0,6.5,14.0,8.0,0.633989685888
4,1,364.l.8091.t.5,D-League All-Stars,100.0,116.0,0.862068965517,166.0,398.0,0.417085427136,72,487,201,149,31,18,72,3.0,14.0,3.0,12.0,6.0,7.0,12.0,10.0,12.0,0.639577196326
5,1,364.l.8091.t.13,Vogelmagic,111.0,132.0,0.840909090909,205.0,466.0,0.43991416309,71,577,172,135,34,19,71,5.0,12.0,4.0,3.0,10.0,8.0,8.5,9.0,11.0,0.640411627
0,1,364.l.8091.t.1,#TrustTheProcess,95.0,112.0,0.848214285714,179.0,413.0,0.433414043584,68,515,157,103,24,14,68,4.0,13.0,5.5,10.0,13.0,14.0,14.0,12.0,9.5,0.640814164649
2,1,364.l.8091.t.2,#Hwaiting,80.0,100.0,0.8,203.0,417.0,0.486810551559,84,524,223,87,49,31,84,7.0,3.0,1.0,8.0,3.0,3.0,2.0,3.0,14.0,0.643405275779
1,1,364.l.8091.t.4,Cool Cats,142.0,162.0,0.876543209877,210.0,467.0,0.449678800857,68,603,212,125,34,14,68,1.0,10.0,5.5,1.0,5.0,11.0,8.5,12.0,9.5,0.663111005367
6,1,364.l.8091.t.6,Jimmy & Jimmy Co.,111.0,128.0,0.8671875,194.0,417.0,0.465227817746,57,540,170,124,50,14,57,2.0,5.0,12.5,6.0,12.0,12.0,1.0,12.0,2.5,0.666207658873
