date,first_name,from_team,from_team_key,last_name,position,team,team_key,timestamp,to_team,to_team_key,transaction_id,type
2016-11-26,Sean,,,Kilpatrick,"PG,SG",Stream Team,364.l.8091.t.9,Sat Nov 26 00:22:04 PST 2016,,,162,add
2016-11-26,Brandon,,,Jennings,PG,Stream Team,364.l.8091.t.9,Sat Nov 26 00:22:04 PST 2016,,,162,drop
2016-11-24,Jamal,,,Murray,"PG,SG",Boomshakalaka,364.l.8091.t.14,Thu Nov 24 02:37:13 PST 2016,,,161,add
2016-11-24,Emmanuel,,,Mudiay,PG,Boomshakalaka,364.l.8091.t.14,Thu Nov 24 02:37:13 PST 2016,,,161,drop
2016-11-24,Jerryd,,,Bayless,"PG,SG",Stream Team,364.l.8091.t.9,Thu Nov 24 01:58:20 PST 2016,,,160,add
2016-11-24,Ish,,,Smith,PG,Stream Team,364.l.8091.t.9,Thu Nov 24 01:58:20 PST 2016,,,160,drop
2016-11-24,Marco,,,Belinelli,"SG,SF",Lebron James and Co.,364.l.8091.t.2,Thu Nov 24 00:44:04 PST 2016,,,159,add
2016-11-24,Jonathan,,,Gibson,"PG,SG",Lebron James and Co.,364.l.8091.t.2,Thu Nov 24 00:44:04 PST 2016,,,159,drop
2016-11-23,JaMychal,,,Green,PF,Stream Team,364.l.8091.t.9,Wed Nov 23 22:40:03 PST 2016,,,158,add
2016-11-23,Alan,,,Williams,"PF,C",Stream Team,364.l.8091.t.9,Wed Nov 23 22:40:03 PST 2016,,,158,drop
2016-11-23,Brandon,,,Jennings,PG,Stream Team,364.l.8091.t.9,Wed Nov 23 19:04:55 PST 2016,,,157,add
2016-11-23,Vince,,,Carter,"SG,SF",One for the Mainland,364.l.8091.t.7,Wed Nov 23 15:38:56 PST 2016,,,156,drop
2016-11-23,Ty,,,Lawson,PG,Cool Cats,364.l.8091.t.4,Wed Nov 23 13:17:23 PST 2016,,,155,drop
2016-11-23,Patty,,,Mills,PG,D-League All-Stars,364.l.8091.t.5,Wed Nov 23 03:14:14 PST 2016,,,154,drop
2016-11-23,Alan,,,Williams,"PF,C",Stream Team,364.l.8091.t.9,Wed Nov 23 00:10:21 PST 2016,,,153,add
2016-11-23,Sean,,,Kilpatrick,"PG,SG",Stream Team,364.l.8091.t.9,Wed Nov 23 00:10:21 PST 2016,,,153,drop
2016-11-22,Tony,,,Allen,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,Tue Nov 22 00:49:37 PST 2016,,,152,add
2016-11-21,Larry,,,Nance Jr.,PF,So Kawhi 。◕ ‿ ◕。,364.l.8091.t.8,Mon Nov 21 14:56:49 PST 2016,,,151,add
2016-11-21,Marquese,,,Chriss,PF,So Kawhi 。◕ ‿ ◕。,364.l.8091.t.8,Mon Nov 21 14:56:49 PST 2016,,,151,drop
2016-11-21,Maurice,,,Harkless,SF,Adam Silver,364.l.8091.t.1,Mon Nov 21 14:43:30 PST 2016,,,150,add
2016-11-21,Ersan,,,Ilyasova,"SF,PF",Adam Silver,364.l.8091.t.1,Mon Nov 21 14:43:30 PST 2016,,,150,drop
2016-11-21,DeMarre,,,Carroll,"SF,PF",Stream Team,364.l.8091.t.9,Mon Nov 21 01:40:38 PST 2016,,,149,add
2016-11-21,Trey,,,Lyles,PF,Stream Team,364.l.8091.t.9,Mon Nov 21 01:40:38 PST 2016,,,149,drop
2016-11-21,Jonathan,,,Gibson,"PG,SG",Lebron James and Co.,364.l.8091.t.2,Mon Nov 21 00:10:50 PST 2016,,,148,add
2016-11-21,Jared,,,Dudley,"SG,SF,PF",Lebron James and Co.,364.l.8091.t.2,Mon Nov 21 00:10:50 PST 2016,,,148,drop
2016-11-20,Ty,,,Lawson,PG,Cool Cats,364.l.8091.t.4,Sun Nov 20 02:50:52 PST 2016,,,147,add
2016-11-20,Jamal,,,Crawford,"SG,SF",Cool Cats,364.l.8091.t.4,Sun Nov 20 02:50:52 PST 2016,,,147,drop
2016-11-20,Will,,,Barton,"SG,SF",Cool Cats,364.l.8091.t.4,Sun Nov 20 02:50:31 PST 2016,,,146,add
2016-11-20,Nikola,,,Mirotic,"SF,PF",Cool Cats,364.l.8091.t.4,Sun Nov 20 02:50:31 PST 2016,,,146,drop
2016-11-20,Nik,,,Stauskas,"SG,SF",One for the Mainland,364.l.8091.t.7,Sun Nov 20 00:16:22 PST 2016,,,145,add
2016-11-20,Buddy,,,Hield,SG,One for the Mainland,364.l.8091.t.7,Sun Nov 20 00:16:22 PST 2016,,,145,drop
2016-11-19,Mike,,,Muscala,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,Sat Nov 19 23:22:46 PST 2016,,,144,add
2016-11-19,Kelly,,,Olynyk,C,Jimmy & Jimmy Co.,364.l.8091.t.6,Sat Nov 19 23:22:46 PST 2016,,,144,drop
2016-11-19,Cody,,,Zeller,"PF,C",Stream Team,364.l.8091.t.9,Sat Nov 19 21:14:41 PST 2016,,,143,drop
2016-11-19,Emmanuel,,,Mudiay,PG,Boomshakalaka,364.l.8091.t.14,Sat Nov 19 05:23:46 PST 2016,,,142,add
2016-11-19,Matthew,,,Dellavedova,"PG,SG",Boomshakalaka,364.l.8091.t.14,Sat Nov 19 05:23:46 PST 2016,,,142,drop
2016-11-19,Cody,,,Zeller,"PF,C",Stream Team,364.l.8091.t.9,Sat Nov 19 03:13:20 PST 2016,,,141,add
2016-11-19,John,,,Henson,"PF,C",Stream Team,364.l.8091.t.9,Sat Nov 19 03:13:20 PST 2016,,,141,drop
2016-11-19,John,,,Henson,"PF,C",Stream Team,364.l.8091.t.9,Sat Nov 19 03:10:35 PST 2016,,,140,add
2016-11-18,Josh,,,Richardson,"SG,SF",Stream Team,364.l.8091.t.9,Fri Nov 18 05:23:30 PST 2016,,,139,add
2016-11-18,Maurice,,,Harkless,SF,Stream Team,364.l.8091.t.9,Fri Nov 18 05:23:30 PST 2016,,,139,drop
2016-11-17,Ersan,,,Ilyasova,"SF,PF",Adam Silver,364.l.8091.t.1,Thu Nov 17 22:56:48 PST 2016,,,138,add
2016-11-17,Dario,,,Saric,"SF,PF",Adam Silver,364.l.8091.t.1,Thu Nov 17 22:56:48 PST 2016,,,138,drop
2016-11-17,Jamal,,,Murray,"PG,SG",Adam Silver,364.l.8091.t.1,Thu Nov 17 21:00:28 PST 2016,,,137,drop
2016-11-16,Trey,,,Lyles,PF,Stream Team,364.l.8091.t.9,Wed Nov 16 23:05:40 PST 2016,,,135,add
2016-11-16,Lucas,,,Nogueira,"PF,C",Stream Team,364.l.8091.t.9,Wed Nov 16 23:05:40 PST 2016,,,135,drop
2016-11-16,James,,,Johnson,"SF,PF",Forgot About Dray,364.l.8091.t.3,Wed Nov 16 21:12:06 PST 2016,,,134,add
2016-11-16,Jonas,Stream Team,364.l.8091.t.9,Valanciunas,C,,,Wed Nov 16 05:30:32 PST 2016,Adam Silver,364.l.8091.t.1,133,trade
2016-11-16,Rodney,Adam Silver,364.l.8091.t.1,Hood,"SG,SF",,,Wed Nov 16 05:30:32 PST 2016,Stream Team,364.l.8091.t.9,133,trade
2016-11-16,Vince,,,Carter,"SG,SF",One for the Mainland,364.l.8091.t.7,Wed Nov 16 00:15:57 PST 2016,,,132,add
2016-11-16,Tyus,,,Jones,PG,One for the Mainland,364.l.8091.t.7,Wed Nov 16 00:15:57 PST 2016,,,132,drop
2016-11-15,Jamal,,,Murray,"PG,SG",Adam Silver,364.l.8091.t.1,Tue Nov 15 23:13:40 PST 2016,,,131,add
2016-11-15,Patrick,,,Beverley,"PG,SG",Valar Moredunkis,364.l.8091.t.12,Tue Nov 15 17:47:39 PST 2016,,,130,add
2016-11-15,Domantas,,,Sabonis,PF,Valar Moredunkis,364.l.8091.t.12,Tue Nov 15 17:47:39 PST 2016,,,130,drop
2016-11-15,Clint,,,Capela,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,Tue Nov 15 13:05:41 PST 2016,,,129,add
2016-11-15,Kris,,,Dunn,"PG,SG",Jimmy & Jimmy Co.,364.l.8091.t.6,Tue Nov 15 13:05:41 PST 2016,,,129,drop
2016-11-15,Seth,,,Curry,"PG,SG",Lebron James and Co.,364.l.8091.t.2,Tue Nov 15 05:22:34 PST 2016,,,127,add
2016-11-15,Emmanuel,,,Mudiay,PG,Lebron James and Co.,364.l.8091.t.2,Tue Nov 15 05:22:34 PST 2016,,,127,drop
2016-11-15,Greg,,,Monroe,"PF,C",Boomshakalaka,364.l.8091.t.14,Tue Nov 15 05:22:34 PST 2016,,,126,add
2016-11-15,Josh,,,Richardson,"SG,SF",Boomshakalaka,364.l.8091.t.14,Tue Nov 15 05:22:34 PST 2016,,,126,drop
2016-11-14,Jared,,,Dudley,"SG,SF,PF",Lebron James and Co.,364.l.8091.t.2,Mon Nov 14 20:45:27 PST 2016,,,125,add
2016-11-14,Iman,,,Shumpert,"SG,SF",Lebron James and Co.,364.l.8091.t.2,Mon Nov 14 20:45:27 PST 2016,,,125,drop
2016-11-14,Jonas,,,Valanciunas,C,Stream Team,364.l.8091.t.9,Mon Nov 14 16:29:01 PST 2016,,,124,add
2016-11-14,Rodney,,,Hood,"SG,SF",Adam Silver,364.l.8091.t.1,Mon Nov 14 16:28:38 PST 2016,,,123,add
2016-11-14,Jonas,,,Valanciunas,C,Adam Silver,364.l.8091.t.1,Mon Nov 14 16:27:54 PST 2016,,,122,drop
2016-11-14,Rodney,,,Hood,"SG,SF",Stream Team,364.l.8091.t.9,Mon Nov 14 16:27:35 PST 2016,,,121,drop
2016-11-14,Rodney,Adam Silver,364.l.8091.t.1,Hood,"SG,SF",,,Mon Nov 14 16:15:59 PST 2016,Stream Team,364.l.8091.t.9,120,trade
2016-11-14,Jonas,Stream Team,364.l.8091.t.9,Valanciunas,C,,,Mon Nov 14 16:15:59 PST 2016,Adam Silver,364.l.8091.t.1,120,trade
2016-11-14,Jaylen,,,Brown,"SG,SF",Forgot About Dray,364.l.8091.t.3,Mon Nov 14 15:48:23 PST 2016,,,119,drop
2016-11-14,Larry,,,Nance Jr.,PF,Stream Team,364.l.8091.t.9,Mon Nov 14 02:35:47 PST 2016,,,118,drop
2016-11-13,Larry,,,Nance Jr.,PF,Stream Team,364.l.8091.t.9,Sun Nov 13 00:31:47 PST 2016,,,117,add
2016-11-13,Greg,,,Monroe,"PF,C",Stream Team,364.l.8091.t.9,Sun Nov 13 00:31:47 PST 2016,,,117,drop
2016-11-13,Nikola,,,Mirotic,"SF,PF",Cool Cats,364.l.8091.t.4,Sun Nov 13 00:22:20 PST 2016,,,116,add
2016-11-13,Seth,,,Curry,"PG,SG",Cool Cats,364.l.8091.t.4,Sun Nov 13 00:22:20 PST 2016,,,116,drop
2016-11-12,Kelly,,,Olynyk,C,Jimmy & Jimmy Co.,364.l.8091.t.6,Sat Nov 12 22:50:07 PST 2016,,,115,add
2016-11-12,JaMychal,,,Green,PF,Jimmy & Jimmy Co.,364.l.8091.t.6,Sat Nov 12 22:50:07 PST 2016,,,115,drop
2016-11-12,Domantas,,,Sabonis,PF,Valar Moredunkis,364.l.8091.t.12,Sat Nov 12 18:34:32 PST 2016,,,114,add
2016-11-11,Tyreke,,,Evans,"PG,SG,SF",Valar Moredunkis,364.l.8091.t.12,Fri Nov 11 23:50:57 PST 2016,,,113,add
2016-11-11,Al-Farouq,,,Aminu,"SF,PF",Valar Moredunkis,364.l.8091.t.12,Fri Nov 11 23:50:57 PST 2016,,,113,drop
2016-11-11,Lucas,,,Nogueira,"PF,C",Stream Team,364.l.8091.t.9,Fri Nov 11 23:14:02 PST 2016,,,112,add
2016-11-11,Justin,,,Hamilton,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,Fri Nov 11 02:00:10 PST 2016,,,111,add
2016-11-11,John,,,Henson,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,Fri Nov 11 02:00:10 PST 2016,,,111,drop
2016-11-11,Iman,,,Shumpert,"SG,SF",Lebron James and Co.,364.l.8091.t.2,Fri Nov 11 01:08:16 PST 2016,,,110,add
2016-11-11,Tyson,,,Chandler,C,Lebron James and Co.,364.l.8091.t.2,Fri Nov 11 01:08:16 PST 2016,,,110,drop
2016-11-10,Alex,,,Len,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,Thu Nov 10 03:08:37 PST 2016,,,109,add
2016-11-10,Allen,,,Crabbe,"PG,SG",Jimmy & Jimmy Co.,364.l.8091.t.6,Thu Nov 10 03:08:37 PST 2016,,,109,drop
2016-11-10,Tyus,,,Jones,PG,One for the Mainland,364.l.8091.t.7,Thu Nov 10 02:39:55 PST 2016,,,108,add
2016-11-10,Joe,,,Johnson,"SG,SF",One for the Mainland,364.l.8091.t.7,Thu Nov 10 02:39:55 PST 2016,,,108,drop
2016-11-10,Seth,,,Curry,"PG,SG",Cool Cats,364.l.8091.t.4,Thu Nov 10 02:35:49 PST 2016,,,107,add
2016-11-10,Jonathon,,,Simmons,"SG,SF",Cool Cats,364.l.8091.t.4,Thu Nov 10 02:35:49 PST 2016,,,107,drop
2016-11-10,Terrence,,,Jones,"SF,PF",Icin On The Beefcake,364.l.8091.t.11,Thu Nov 10 01:53:14 PST 2016,,,106,add
2016-11-10,Nikola,,,Mirotic,"SF,PF",Icin On The Beefcake,364.l.8091.t.11,Thu Nov 10 01:53:14 PST 2016,,,106,drop
