team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.83683.t.5,Karan's Team,2.0,4.0,2.0,1.33333333333,3.33333333333,6.33333333333,6.5,4.66666666667,9.0,4.35185185185
364.l.83683.t.1,Bloomfield Bombers,2.33333333333,6.33333333333,4.0,4.33333333333,4.33333333333,4.0,5.66666666667,7.5,7.0,5.05555555556
364.l.83683.t.4,Shlokemon Go,7.66666666667,2.33333333333,7.66666666667,8.0,5.66666666667,4.83333333333,4.16666666667,1.83333333333,3.33333333333,5.05555555556
364.l.83683.t.6,Underperformers,7.66666666667,6.66666666667,3.5,2.66666666667,3.16666666667,6.0,3.5,6.66666666667,7.5,5.25925925926
364.l.83683.t.2,The Uni-Bros,3.33333333333,8.0,6.83333333333,4.33333333333,6.83333333333,7.0,2.83333333333,4.33333333333,4.16666666667,5.2962962963
364.l.83683.t.9,Maverick,5.0,4.33333333333,6.66666666667,7.0,6.33333333333,2.83333333333,6.83333333333,4.5,4.33333333333,5.31481481481
364.l.83683.t.7,Peter's Team,10.0,4.66666666667,5.66666666667,10.0,1.0,7.66666666667,4.5,2.0,5.33333333333,5.64814814815
364.l.83683.t.8,adam's Team,3.66666666667,5.0,8.66666666667,4.66666666667,6.83333333333,6.0,5.33333333333,8.83333333333,2.33333333333,5.7037037037
364.l.83683.t.10,Dream Team,7.33333333333,5.0,8.0,6.66666666667,8.33333333333,4.33333333333,6.5,7.66666666667,3.0,6.31481481481
364.l.83683.t.3,Ankit's Team,6.0,8.66666666667,2.0,6.0,9.16666666667,6.0,9.16666666667,7.0,9.0,7.0
