team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,8.8,3.0,8.6,4.0,4.0,4.2,8.7,3.8,6.4,5.72222222222
364.l.8091.t.2,#Hwaiting,10.6,4.4,7.3,8.0,5.0,5.8,6.5,4.4,7.7,6.63333333333
364.l.8091.t.6,Jimmy & Jimmy Co.,7.6,6.4,10.6,9.0,7.0,5.4,3.4,6.6,4.4,6.71111111111
364.l.8091.t.14,Browshakalaka,5.4,8.2,7.5,6.4,8.0,7.0,6.2,6.8,7.5,7.0
364.l.8091.t.11,Icin On The Beefcake,10.6,8.4,5.3,5.8,3.0,8.6,8.1,4.2,9.7,7.07777777778
364.l.8091.t.7,One for the Mainland,8.8,5.2,9.4,4.8,7.0,6.9,9.1,7.4,5.6,7.13333333333
364.l.8091.t.3,Forgot About Dray,14.0,3.8,10.6,13.6,2.4,7.2,6.9,3.0,4.4,7.32222222222
364.l.8091.t.9,Optimus Dimes,5.6,8.0,11.1,10.2,7.4,3.4,7.5,10.2,3.9,7.47777777778
364.l.8091.t.12,Valar Moredunkis,8.8,8.8,6.5,6.4,7.8,9.2,4.9,8.5,8.5,7.71111111111
364.l.8091.t.4,Cool Cats,4.2,10.8,3.1,4.8,9.4,10.4,6.7,10.3,11.9,7.95555555556
364.l.8091.t.13,Vogelmagic,4.6,9.8,4.0,5.0,11.0,8.4,7.3,11.4,11.0,8.05555555556
364.l.8091.t.10,Trinh,7.6,6.2,10.9,11.2,13.6,6.9,5.5,9.2,4.1,8.35555555556
364.l.8091.t.5,D-League All-Stars,2.8,11.4,4.4,7.6,10.0,9.4,11.9,11.2,10.6,8.81111111111
364.l.8091.t.1,Adam Silver,5.6,10.6,5.7,8.2,9.4,12.2,12.3,8.0,9.3,9.03333333333
