team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,8.0,2.83333333333,9.16666666667,3.83333333333,4.0,4.16666666667,9.25,3.41666666667,5.83333333333,5.61111111111
364.l.8091.t.6,Jimmy & Jimmy Co.,7.66666666667,6.33333333333,10.1666666667,9.08333333333,7.0,5.0,3.0,6.83333333333,4.83333333333,6.65740740741
364.l.8091.t.2,#Hwaiting,11.1666666667,5.16666666667,6.75,8.83333333333,5.5,5.16666666667,6.16666666667,4.5,8.25,6.83333333333
364.l.8091.t.7,One for the Mainland,8.33333333333,6.16666666667,8.16666666667,4.16666666667,6.33333333333,5.91666666667,8.75,6.83333333333,6.83333333333,6.83333333333
364.l.8091.t.3,Forgot About Dray,13.8333333333,3.66666666667,9.0,13.3333333333,2.33333333333,7.33333333333,6.08333333333,2.75,6.0,7.14814814815
364.l.8091.t.11,Icin On The Beefcake,10.0,8.16666666667,6.0,6.0,3.33333333333,8.83333333333,9.08333333333,4.0,9.0,7.15740740741
364.l.8091.t.14,Browshakalaka,6.5,8.5,7.25,6.0,7.66666666667,7.91666666667,6.33333333333,6.83333333333,7.75,7.19444444444
364.l.8091.t.9,Optimus Dimes,5.16666666667,8.0,11.5,10.0833333333,7.66666666667,3.66666666667,7.41666666667,9.5,3.5,7.38888888889
364.l.8091.t.12,Valar Moredunkis,8.16666666667,9.66666666667,5.91666666667,7.16666666667,8.66666666667,9.16666666667,5.58333333333,8.66666666667,9.08333333333,8.00925925926
364.l.8091.t.13,Vogelmagic,5.5,9.0,4.5,5.16666666667,11.1666666667,8.16666666667,6.83333333333,11.3333333333,10.5,8.01851851852
364.l.8091.t.4,Cool Cats,5.0,11.0,4.16666666667,4.83333333333,9.66666666667,10.5,6.08333333333,10.6666666667,10.8333333333,8.08333333333
364.l.8091.t.10,Trinh,6.66666666667,5.83333333333,11.3333333333,11.6666666667,11.5,6.75,6.41666666667,10.0,3.66666666667,8.2037037037
364.l.8091.t.1,Adam Silver,4.83333333333,9.0,6.58333333333,7.16666666667,10.1666666667,12.25,12.4166666667,8.75,8.41666666667,8.84259259259
364.l.8091.t.5,D-League All-Stars,4.16666666667,11.6666666667,4.5,7.66666666667,10.0,10.1666666667,11.5833333333,10.9166666667,10.5,9.01851851852
