,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
9,1,364.l.83683.t.7,Peter's Team,84.0,134.0,0.626865671642,149.0,281.0,0.53024911032,74,390,250,108,37,31,74,10.0,1.0,2.0,10.0,1.0,9.0,2.0,2.0,9.0,0.578557390981
3,1,364.l.83683.t.10,Dream Team,64.0,87.0,0.735632183908,161.0,363.0,0.443526170799,43,419,165,74,28,16,43,9.0,7.0,10.0,9.0,10.0,3.0,8.5,10.0,1.0,0.589579177353
8,1,364.l.83683.t.6,Underperformers,110.0,147.0,0.748299319728,219.0,480.0,0.45625,73,588,209,102,35,30,73,7.0,6.0,3.0,2.0,3.5,10.0,3.5,3.0,8.0,0.602274659864
1,1,364.l.83683.t.3,Ankit's Team,99.0,129.0,0.767441860465,178.0,403.0,0.441687344913,70,511,171,138,28,23,70,6.0,8.0,4.0,5.0,7.5,5.0,8.5,6.0,7.0,0.604564602689
2,1,364.l.83683.t.2,The Uni-Bros,127.0,161.0,0.788819875776,179.0,417.0,0.429256594724,69,535,209,128,70,28,69,4.0,9.0,5.0,3.0,3.5,6.0,1.0,4.0,6.0,0.60903823525
4,1,364.l.83683.t.4,Shlokemon Go,100.0,135.0,0.740740740741,176.0,364.0,0.483516483516,60,495,166,111,35,32,60,8.0,4.0,9.0,7.0,9.0,8.0,3.5,1.0,2.0,0.612128612129
0,1,364.l.83683.t.1,Bloomfield Bombers,94.0,112.0,0.839285714286,167.0,390.0,0.428205128205,67,478,180,75,33,19,67,1.0,10.0,6.0,8.0,6.0,2.0,5.5,8.0,5.0,0.633745421245
7,1,364.l.83683.t.8,adam's Team,100.0,130.0,0.769230769231,188.0,368.0,0.510869565217,61,526,171,62,23,17,61,5.0,2.0,8.0,4.0,7.5,4.0,10.0,9.0,3.0,0.640050167224
6,1,364.l.83683.t.5,Karan's Team,166.0,200.0,0.83,249.0,544.0,0.457720588235,83,704,217,115,33,20,83,3.0,5.0,1.0,1.0,2.0,7.0,5.5,7.0,10.0,0.643860294118
5,1,364.l.83683.t.9,Maverick,113.0,135.0,0.837037037037,182.0,368.0,0.494565217391,65,503,192,86,30,24,65,2.0,3.0,7.0,6.0,5.0,1.0,7.0,5.0,4.0,0.665801127214
