,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
8,1,364.l.83683.t.7,Peter's Team,74.0,114.0,0.649122807018,161.0,356.0,0.452247191011,63,430,266,150,38,34,63,10.0,8.0,8.0,10.0,1.0,4.0,6.0,1.0,3.0,0.550684999014
3,1,364.l.83683.t.3,Ankit's Team,99.0,124.0,0.798387096774,190.0,425.0,0.447058823529,99,522,163,148,32,19,99,6.0,9.0,1.0,7.0,10.0,5.0,9.0,7.0,10.0,0.622722960152
6,1,364.l.83683.t.6,Underperformers,125.0,160.0,0.78125,247.0,529.0,0.466918714556,75,658,235,138,45,14,75,9.0,4.0,4.5,2.0,2.0,6.0,3.0,10.0,6.5,0.624084357278
7,1,364.l.83683.t.8,adam's Team,133.0,161.0,0.826086956522,225.0,506.0,0.444664031621,48,640,191,132,43,18,48,3.0,10.0,10.0,3.0,7.0,7.0,4.5,8.0,1.0,0.635375494071
9,1,364.l.83683.t.10,Dream Team,88.0,112.0,0.785714285714,179.0,364.0,0.491758241758,62,506,181,113,46,16,62,8.0,1.0,9.0,8.0,8.0,9.0,2.0,9.0,2.0,0.638736263736
0,1,364.l.83683.t.1,Bloomfield Bombers,122.0,151.0,0.807947019868,221.0,468.0,0.472222222222,84,617,224,94,31,25,84,5.0,3.0,3.0,4.0,4.0,1.0,10.0,5.0,8.0,0.640084621045
5,1,364.l.83683.t.9,Maverick,142.0,174.0,0.816091954023,211.0,454.0,0.464757709251,64,601,211,89,33,32,64,4.0,6.0,7.0,6.0,5.0,3.0,8.0,2.5,4.0,0.640424831637
1,1,364.l.83683.t.4,Shlokemon Go,106.0,134.0,0.791044776119,177.0,360.0,0.491666666667,75,488,202,93,49,32,75,7.0,2.0,4.5,9.0,6.0,2.0,1.0,2.5,6.5,0.641355721393
2,1,364.l.83683.t.2,The Uni-Bros,104.0,120.0,0.866666666667,226.0,487.0,0.464065708419,72,602,179,113,43,27,72,2.0,7.0,6.0,5.0,9.0,9.0,4.5,4.0,5.0,0.665366187543
4,1,364.l.83683.t.5,Karan's Team,144.0,166.0,0.867469879518,245.0,526.0,0.465779467681,89,693,226,113,36,21,89,1.0,5.0,2.0,1.0,3.0,9.0,7.0,6.0,9.0,0.666624673599
