,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
0,8,364.l.8091.t.1,Adam Silver,120.0,145.0,0.827586206897,243.0,517.0,0.47001934236,74.0,680.0,191.0,119.0,39.0,24.0,66.0,1.0,9.0,1.0,1.0,5.0,5.5,3.5,5.0,8.0,4.33333333333
12,8,364.l.8091.t.11,Icin On The Beefcake,100.0,135.0,0.740740740741,208.0,434.0,0.479262672811,49.0,565.0,196.0,119.0,28.0,27.0,59.0,10.0,5.0,5.0,3.0,3.0,5.5,12.0,3.0,5.5,5.77777777778
11,8,364.l.8091.t.13,Harry B's Hairy Bees,90.0,109.0,0.825688073394,192.0,408.0,0.470588235294,41.0,515.0,193.0,146.0,34.0,16.0,59.0,2.0,8.0,6.0,6.0,4.0,2.0,9.0,11.0,5.5,5.94444444444
8,8,364.l.8091.t.5,D-League All-Stars,120.0,148.0,0.810810810811,220.0,477.0,0.461215932914,67.0,627.0,187.0,151.0,31.0,18.0,73.0,5.0,11.0,3.0,2.0,6.0,1.0,10.0,8.5,13.0,6.61111111111
10,8,364.l.8091.t.10,Trinh,67.0,83.0,0.807228915663,190.0,434.0,0.437788018433,69.0,516.0,171.0,98.0,42.0,16.0,35.0,6.0,13.0,2.0,5.0,12.5,10.0,1.0,11.0,1.0,6.83333333333
4,8,364.l.8091.t.3,Forgot About Dray,97.0,142.0,0.683098591549,167.0,328.0,0.509146341463,24.0,455.0,309.0,137.0,37.0,26.0,69.0,12.0,1.0,13.5,12.0,1.0,3.0,6.0,4.0,11.0,7.05555555556
2,8,364.l.8091.t.2,#Hwaiting,72.0,108.0,0.666666666667,192.0,403.0,0.476426799007,33.0,489.0,256.0,104.0,38.0,31.0,67.0,14.0,7.0,9.5,9.0,2.0,8.5,5.0,1.5,9.5,7.33333333333
5,8,364.l.8091.t.7,One for the Mainland,104.0,138.0,0.753623188406,170.0,353.0,0.481586402266,31.0,475.0,186.0,71.0,41.0,18.0,60.0,9.0,4.0,11.0,10.0,7.5,14.0,2.0,8.5,7.0,8.11111111111
13,8,364.l.8091.t.12,Valar Moredunkis,93.0,113.0,0.823008849558,184.0,384.0,0.479166666667,40.0,501.0,176.0,130.0,24.0,14.0,67.0,3.0,6.0,7.0,8.0,9.5,4.0,13.0,14.0,9.5,8.22222222222
9,8,364.l.8091.t.14,Browshakalaka,103.0,127.0,0.811023622047,201.0,435.0,0.462068965517,39.0,544.0,171.0,104.0,35.0,22.0,74.0,4.0,10.0,8.0,4.0,12.5,8.5,8.0,6.0,14.0,8.33333333333
7,8,364.l.8091.t.6,Jimmy & Jimmy Co.,75.0,112.0,0.669642857143,160.0,327.0,0.489296636086,24.0,419.0,176.0,95.0,39.0,19.0,52.0,13.0,3.0,13.5,13.0,9.5,11.0,3.5,7.0,4.0,8.61111111111
3,8,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,76.0,103.0,0.73786407767,175.0,354.0,0.494350282486,30.0,456.0,175.0,73.0,19.0,31.0,51.0,11.0,2.0,12.0,11.0,11.0,13.0,14.0,1.5,3.0,8.72222222222
1,8,364.l.8091.t.9,Stream Team,56.0,70.0,0.8,155.0,351.0,0.441595441595,33.0,399.0,186.0,83.0,36.0,15.0,46.0,7.0,12.0,9.5,14.0,7.5,12.0,7.0,13.0,2.0,9.33333333333
6,8,364.l.8091.t.4,Cool Cats,100.0,126.0,0.793650793651,176.0,414.0,0.425120772947,51.0,503.0,146.0,118.0,29.0,16.0,72.0,8.0,14.0,4.0,7.0,14.0,7.0,11.0,11.0,12.0,9.77777777778
