,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
2,11,364.l.8091.t.2,#Hwaiting,103.0,124.0,0.83064516129,209.0,413.0,0.506053268765,36.0,557.0,240.0,118.0,37.0,40.0,67.0,4.0,2.0,12.0,8.5,3.0,6.0,7.5,1.0,7.5,5.72222222222
1,11,364.l.8091.t.12,Valar Moredunkis,132.0,157.0,0.84076433121,206.0,433.0,0.475750577367,51.0,595.0,202.0,117.0,38.0,22.0,67.0,2.0,5.0,8.5,5.0,7.0,7.0,4.5,8.0,7.5,6.05555555556
5,11,364.l.8091.t.10,Trinh,76.0,100.0,0.76,221.0,464.0,0.476293103448,71.0,589.0,181.0,106.0,40.0,26.0,56.0,12.0,4.0,1.0,6.0,13.0,10.0,3.0,3.0,4.0,6.22222222222
0,11,364.l.8091.t.1,Adam Silver,136.0,164.0,0.829268292683,231.0,521.0,0.443378119002,63.0,661.0,182.0,114.0,41.0,22.0,61.0,5.0,11.0,3.5,1.0,12.0,9.0,2.0,8.0,5.0,6.27777777778
11,11,364.l.8091.t.7,One for the Mainland,141.0,175.0,0.805714285714,204.0,474.0,0.430379746835,59.0,608.0,227.0,138.0,36.0,31.0,69.0,8.0,14.0,5.5,4.0,4.0,2.0,10.0,2.0,9.0,6.5
3,11,364.l.8091.t.11,Icin On The Beefcake,106.0,134.0,0.791044776119,224.0,495.0,0.452525252525,66.0,620.0,245.0,128.0,38.0,21.0,79.0,11.0,10.0,2.0,2.5,2.0,4.0,4.5,10.5,13.0,6.61111111111
10,11,364.l.8091.t.6,Jimmy & Jimmy Co.,79.0,98.0,0.80612244898,195.0,425.0,0.458823529412,53.0,522.0,197.0,125.0,46.0,22.0,62.0,7.0,8.0,7.0,12.0,10.0,5.0,1.0,8.0,6.0,7.11111111111
12,11,364.l.8091.t.13,Harry B's Hairy Bees,84.0,101.0,0.831683168317,221.0,436.0,0.506880733945,42.0,568.0,211.0,97.0,21.0,17.0,51.0,3.0,1.0,11.0,7.0,5.0,14.0,14.0,13.0,3.0,7.88888888889
4,11,364.l.8091.t.3,Forgot About Dray,77.0,119.0,0.647058823529,164.0,330.0,0.49696969697,23.0,428.0,305.0,156.0,37.0,23.0,75.0,14.0,3.0,14.0,14.0,1.0,1.0,7.5,5.5,12.0,8.0
6,11,364.l.8091.t.4,Cool Cats,113.0,137.0,0.824817518248,222.0,484.0,0.45867768595,63.0,620.0,185.0,104.0,29.0,19.0,73.0,6.0,9.0,3.5,2.5,11.0,11.5,12.0,12.0,11.0,8.72222222222
7,11,364.l.8091.t.9,Stream Team,64.0,85.0,0.752941176471,201.0,467.0,0.430406852248,51.0,517.0,198.0,134.0,37.0,21.0,50.0,13.0,13.0,8.5,13.0,8.5,3.0,7.5,10.5,2.0,8.77777777778
13,11,364.l.8091.t.14,Browshakalaka,102.0,128.0,0.796875,209.0,446.0,0.468609865471,34.0,554.0,208.0,104.0,37.0,23.0,71.0,9.0,7.0,13.0,10.0,6.0,11.5,7.5,5.5,10.0,8.83333333333
9,11,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,95.0,120.0,0.791666666667,191.0,405.0,0.471604938272,48.0,525.0,172.0,102.0,22.0,24.0,47.0,10.0,6.0,10.0,11.0,14.0,13.0,13.0,4.0,1.0,9.11111111111
8,11,364.l.8091.t.5,D-League All-Stars,104.0,117.0,0.888888888889,197.0,451.0,0.436807095344,59.0,557.0,198.0,116.0,35.0,16.0,82.0,1.0,12.0,5.5,8.5,8.5,8.0,11.0,14.0,14.0,9.16666666667
