,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
11,1,364.l.8091.t.9,Stream Team,86.0,101.0,0.851485148515,159.0,362.0,0.439226519337,37.0,441.0,158.0,98.0,39.0,17.0,46.0,1.0,8.0,3.0,3.0,7.0,3.0,1.5,7.0,2.0,3.94444444444
10,1,364.l.8091.t.7,One for the Mainland,112.0,138.0,0.811594202899,191.0,406.0,0.470443349754,37.0,531.0,195.0,86.0,27.0,26.0,60.0,6.0,4.0,3.0,1.0,2.0,5.0,6.0,2.0,11.0,4.44444444444
12,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,99.0,127.0,0.779527559055,174.0,343.0,0.507288629738,29.0,476.0,186.0,89.0,24.0,23.0,55.0,10.0,1.0,8.0,2.0,4.0,4.0,9.5,3.0,9.0,5.61111111111
1,1,364.l.8091.t.2,#Hwaiting,79.0,109.0,0.724770642202,164.0,334.0,0.491017964072,32.0,439.0,227.0,76.0,20.0,30.0,47.0,13.0,2.0,6.0,4.0,1.0,10.0,13.5,1.0,4.0,6.05555555556
7,1,364.l.8091.t.11,Icin On The Beefcake,83.0,110.0,0.754545454545,162.0,358.0,0.45251396648,27.0,434.0,192.0,100.0,36.0,22.0,62.0,12.0,5.0,9.0,6.0,3.0,2.0,3.0,4.5,12.0,6.27777777778
9,1,364.l.8091.t.10,Trinh,69.0,83.0,0.831325301205,141.0,318.0,0.443396226415,37.0,388.0,134.0,66.0,32.0,12.0,47.0,3.0,6.0,3.0,11.0,13.0,13.0,5.0,8.0,4.0,7.33333333333
6,1,364.l.8091.t.5,D-League All-Stars,83.0,98.0,0.84693877551,151.0,350.0,0.431428571429,48.0,433.0,135.0,106.0,22.0,11.0,67.0,2.0,9.0,1.0,7.0,12.0,1.0,12.0,10.0,14.0,7.55555555556
13,1,364.l.8091.t.14,Browshakalaka,93.0,113.0,0.823008849558,141.0,329.0,0.428571428571,16.0,391.0,159.0,71.0,39.0,18.0,51.0,4.0,10.0,13.0,10.0,6.0,11.5,1.5,6.0,7.0,7.66666666667
3,1,364.l.8091.t.13,Harry B's Hairy Bees,88.0,110.0,0.8,160.0,375.0,0.426666666667,30.0,438.0,148.0,84.0,26.0,11.0,63.0,7.0,11.0,7.0,5.0,9.0,7.0,7.5,10.0,13.0,8.5
5,1,364.l.8091.t.12,Valar Moredunkis,84.0,106.0,0.792452830189,148.0,308.0,0.480519480519,25.0,405.0,138.0,71.0,24.0,11.0,48.0,8.0,3.0,11.0,8.0,11.0,11.5,9.5,10.0,6.0,8.66666666667
2,1,364.l.8091.t.3,Forgot About Dray,30.0,56.0,0.535714285714,78.0,190.0,0.410526315789,8.0,194.0,183.0,85.0,23.0,22.0,40.0,14.0,12.0,14.0,14.0,5.0,6.0,11.0,4.5,1.0,9.05555555556
8,1,364.l.8091.t.6,Jimmy & Jimmy Co.,64.0,82.0,0.780487804878,133.0,328.0,0.405487804878,23.0,353.0,157.0,78.0,34.0,9.0,54.0,9.0,13.0,12.0,13.0,8.0,9.0,4.0,12.0,8.0,9.77777777778
4,1,364.l.8091.t.4,Cool Cats,74.0,96.0,0.770833333333,147.0,333.0,0.441441441441,26.0,394.0,128.0,80.0,26.0,8.0,58.0,11.0,7.0,10.0,9.0,14.0,8.0,7.5,13.5,10.0,10.0
0,1,364.l.8091.t.1,Adam Silver,74.0,91.0,0.813186813187,135.0,336.0,0.401785714286,35.0,379.0,145.0,59.0,20.0,8.0,47.0,5.0,14.0,5.0,12.0,10.0,14.0,13.5,13.5,4.0,10.1111111111
