team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,7.33333333333,7.0,5.16666666667,4.66666666667,6.0,5.0,6.33333333333,4.66666666667,10.0,6.24074074074
364.l.8091.t.2,#Hwaiting,10.3333333333,4.0,9.5,5.5,2.0,6.33333333333,9.5,1.0,8.5,6.2962962963
364.l.8091.t.12,Valar Moredunkis,4.33333333333,6.0,7.83333333333,4.66666666667,7.33333333333,7.83333333333,7.66666666667,7.33333333333,5.0,6.44444444444
364.l.8091.t.10,Trinh,6.33333333333,5.0,2.33333333333,7.66666666667,11.6666666667,9.83333333333,6.66666666667,5.83333333333,3.16666666667,6.5
364.l.8091.t.11,Icin On The Beefcake,11.6666666667,6.33333333333,5.66666666667,3.5,2.66666666667,4.16666666667,6.0,6.0,12.6666666667,6.51851851852
364.l.8091.t.1,Adam Silver,3.66666666667,10.3333333333,3.16666666667,5.33333333333,11.0,12.0,7.66666666667,8.83333333333,4.66666666667,7.40740740741
364.l.8091.t.9,Stream Team,8.0,11.3333333333,5.5,9.0,9.83333333333,5.66666666667,4.33333333333,9.16666666667,3.83333333333,7.40740740741
364.l.8091.t.13,Harry B's Hairy Bees,5.33333333333,4.66666666667,8.66666666667,5.66666666667,6.66666666667,10.3333333333,11.5,11.0,6.33333333333,7.7962962963
364.l.8091.t.14,Browshakalaka,8.0,8.66666666667,11.6666666667,9.0,6.33333333333,8.33333333333,3.33333333333,6.5,8.66666666667,7.83333333333
364.l.8091.t.3,Forgot About Dray,12.3333333333,5.33333333333,12.8333333333,13.6666666667,2.33333333333,2.66666666667,9.66666666667,4.0,8.33333333333,7.90740740741
364.l.8091.t.5,D-League All-Stars,1.66666666667,10.6666666667,2.83333333333,7.83333333333,9.5,4.33333333333,9.66666666667,12.3333333333,13.0,7.98148148148
364.l.8091.t.6,Jimmy & Jimmy Co.,7.66666666667,9.33333333333,11.0,11.6666666667,7.66666666667,7.66666666667,2.33333333333,8.83333333333,7.16666666667,8.14814814815
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,11.0,6.33333333333,10.0,9.0,10.3333333333,10.3333333333,12.1666666667,6.33333333333,5.33333333333,8.98148148148
364.l.8091.t.4,Cool Cats,7.33333333333,10.0,8.83333333333,7.83333333333,11.6666666667,10.5,8.16666666667,13.1666666667,8.33333333333,9.53703703704
