team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,6.875,7.625,4.875,3.25,3.8125,5.75,6.5,5.0625,10.5625,6.03472222222
364.l.8091.t.11,Icin On The Beefcake,9.375,9.25,5.25,4.6875,5.125,3.875,6.0625,6.0625,11.625,6.8125
364.l.8091.t.3,Forgot About Dray,12.875,3.125,12.4375,11.375,1.625,3.625,6.375,2.25,8.0625,6.86111111111
364.l.8091.t.2,#Hwaiting,11.5,4.875,10.4375,7.3125,3.25,7.0,4.9375,3.0625,9.8125,6.90972222222
364.l.8091.t.12,Valar Moredunkis,4.375,7.5,7.8125,6.125,9.5,6.5625,7.9375,8.75,6.25,7.20138888889
364.l.8091.t.5,D-League All-Stars,2.875,11.5,2.0625,6.4375,8.875,3.8125,7.75,10.75,11.0625,7.23611111111
364.l.8091.t.10,Trinh,7.6875,7.5,2.75,8.5,11.5,10.3125,7.25,7.5625,3.8125,7.43055555556
364.l.8091.t.1,Adam Silver,6.1875,8.625,3.375,4.75,11.625,9.875,9.9375,8.875,5.4375,7.63194444444
364.l.8091.t.9,Stream Team,7.75,9.25,9.1875,9.375,8.4375,5.0,5.75,8.6875,5.875,7.70138888889
364.l.8091.t.6,Jimmy & Jimmy Co.,8.25,7.125,10.375,10.625,7.0625,8.875,3.75,8.625,5.6875,7.81944444444
364.l.8091.t.4,Cool Cats,4.0,10.125,5.9375,4.3125,9.125,7.9375,8.375,11.5625,10.6875,8.00694444444
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,9.125,5.375,9.0625,8.875,9.625,12.0,10.5,4.6875,4.0,8.13888888889
364.l.8091.t.13,Harry B's Hairy Bees,6.5,5.125,10.5,8.375,6.4375,11.125,12.3125,10.6875,5.0,8.45138888889
364.l.8091.t.14,Browshakalaka,7.625,8.0,10.9375,11.0,9.0,9.25,7.5625,8.375,7.125,8.76388888889
