team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.9,Stream Team,1.0,8.0,3.0,3.0,7.0,3.0,1.5,7.0,2.0,3.94444444444
364.l.8091.t.7,One for the Mainland,6.0,4.0,3.0,1.0,2.0,5.0,6.0,2.0,11.0,4.44444444444
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,10.0,1.0,8.0,2.0,4.0,4.0,9.5,3.0,9.0,5.61111111111
364.l.8091.t.2,#Hwaiting,13.0,2.0,6.0,4.0,1.0,10.0,13.5,1.0,4.0,6.05555555556
364.l.8091.t.11,Icin On The Beefcake,12.0,5.0,9.0,6.0,3.0,2.0,3.0,4.5,12.0,6.27777777778
364.l.8091.t.10,Trinh,3.0,6.0,3.0,11.0,13.0,13.0,5.0,8.0,4.0,7.33333333333
364.l.8091.t.5,D-League All-Stars,2.0,9.0,1.0,7.0,12.0,1.0,12.0,10.0,14.0,7.55555555556
364.l.8091.t.14,Browshakalaka,4.0,10.0,13.0,10.0,6.0,11.5,1.5,6.0,7.0,7.66666666667
364.l.8091.t.13,Harry B's Hairy Bees,7.0,11.0,7.0,5.0,9.0,7.0,7.5,10.0,13.0,8.5
364.l.8091.t.12,Valar Moredunkis,8.0,3.0,11.0,8.0,11.0,11.5,9.5,10.0,6.0,8.66666666667
364.l.8091.t.3,Forgot About Dray,14.0,12.0,14.0,14.0,5.0,6.0,11.0,4.5,1.0,9.05555555556
364.l.8091.t.6,Jimmy & Jimmy Co.,9.0,13.0,12.0,13.0,8.0,9.0,4.0,12.0,8.0,9.77777777778
364.l.8091.t.4,Cool Cats,11.0,7.0,10.0,9.0,14.0,8.0,7.5,13.5,10.0,10.0
364.l.8091.t.1,Adam Silver,5.0,14.0,5.0,12.0,10.0,14.0,13.5,13.5,4.0,10.1111111111
