team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,7.58333333333,7.58333333333,5.25,4.08333333333,5.29166666667,7.04166666667,7.625,5.70833333333,8.83333333333,6.55555555556
364.l.8091.t.11,Icin On The Beefcake,9.66666666667,9.08333333333,7.08333333333,4.875,4.41666666667,3.33333333333,7.41666666667,4.95833333333,11.5416666667,6.93055555556
364.l.8091.t.3,Forgot About Dray,13.1666666667,2.83333333333,12.8333333333,12.0,1.66666666667,4.58333333333,5.79166666667,2.16666666667,7.95833333333,7.0
364.l.8091.t.6,Jimmy & Jimmy Co.,7.5,6.5,10.0833333333,9.70833333333,6.625,9.08333333333,2.91666666667,7.91666666667,5.125,7.27314814815
364.l.8091.t.2,#Hwaiting,11.4166666667,5.25,10.9583333333,8.375,4.25,7.91666666667,5.08333333333,3.79166666667,9.45833333333,7.38888888889
364.l.8091.t.5,D-League All-Stars,3.5,11.5833333333,2.125,6.625,8.66666666667,3.625,8.79166666667,10.5416666667,11.2916666667,7.41666666667
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,8.41666666667,4.75,8.33333333333,7.25,7.33333333333,12.1666666667,10.4166666667,4.0,4.33333333333,7.44444444444
364.l.8091.t.12,Valar Moredunkis,5.41666666667,9.0,8.41666666667,6.66666666667,9.25,5.5,7.20833333333,8.83333333333,7.04166666667,7.48148148148
364.l.8091.t.10,Trinh,7.20833333333,6.41666666667,3.16666666667,9.58333333333,12.3333333333,10.7916666667,7.29166666667,8.375,3.45833333333,7.625
364.l.8091.t.1,Adam Silver,5.625,8.41666666667,3.41666666667,5.5,11.3333333333,8.95833333333,10.7083333333,9.5,6.5,7.77314814815
364.l.8091.t.4,Cool Cats,4.08333333333,10.75,6.29166666667,4.375,8.91666666667,7.20833333333,7.41666666667,11.75,10.4583333333,7.91666666667
364.l.8091.t.9,Stream Team,7.58333333333,8.41666666667,8.54166666667,10.375,8.54166666667,7.83333333333,6.58333333333,8.875,5.25,8.0
364.l.8091.t.13,Harry B's Hairy Bees,6.25,6.5,8.75,7.25,8.04166666667,8.5,9.91666666667,10.7916666667,6.41666666667,8.0462962963
364.l.8091.t.14,Browshakalaka,7.58333333333,7.91666666667,9.75,8.33333333333,8.33333333333,8.45833333333,7.83333333333,7.79166666667,7.33333333333,8.14814814815
