team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,7.22222222222,7.66666666667,5.11111111111,3.33333333333,4.27777777778,6.22222222222,6.5,5.05555555556,9.66666666667,6.11728395062
364.l.8091.t.2,#Hwaiting,11.0,4.66666666667,10.3888888889,7.38888888889,3.22222222222,7.44444444444,4.61111111111,3.05555555556,10.2777777778,6.8950617284
364.l.8091.t.3,Forgot About Dray,13.0,3.0,12.6111111111,11.6666666667,1.55555555556,4.22222222222,6.22222222222,2.11111111111,7.77777777778,6.90740740741
364.l.8091.t.11,Icin On The Beefcake,9.55555555556,9.44444444444,5.94444444444,4.72222222222,4.77777777778,3.77777777778,6.61111111111,5.61111111111,11.7777777778,6.91358024691
364.l.8091.t.12,Valar Moredunkis,4.55555555556,7.66666666667,7.94444444444,6.22222222222,9.66666666667,6.27777777778,7.77777777778,9.33333333333,6.44444444444,7.32098765432
364.l.8091.t.5,D-League All-Stars,2.88888888889,11.7777777778,2.27777777778,7.05555555556,8.55555555556,3.5,8.22222222222,10.6666666667,11.1666666667,7.34567901235
364.l.8091.t.10,Trinh,8.27777777778,6.77777777778,2.55555555556,8.55555555556,11.7777777778,10.5,6.88888888889,7.27777777778,3.83333333333,7.38271604938
364.l.8091.t.6,Jimmy & Jimmy Co.,7.55555555556,6.88888888889,10.0,10.1111111111,7.61111111111,8.55555555556,3.44444444444,9.0,5.33333333333,7.61111111111
364.l.8091.t.9,Stream Team,8.22222222222,8.66666666667,9.61111111111,9.77777777778,8.5,5.88888888889,5.44444444444,8.5,5.83333333333,7.82716049383
364.l.8091.t.1,Adam Silver,5.94444444444,9.11111111111,3.22222222222,5.33333333333,11.7777777778,9.66666666667,10.3888888889,9.22222222222,5.88888888889,7.83950617284
364.l.8091.t.4,Cool Cats,3.66666666667,10.1111111111,6.05555555556,3.94444444444,8.66666666667,7.61111111111,8.38888888889,11.6111111111,10.5555555556,7.84567901235
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,9.11111111111,5.44444444444,9.33333333333,9.11111111111,9.0,12.2222222222,10.7777777778,4.72222222222,3.66666666667,8.15432098765
364.l.8091.t.13,Harry B's Hairy Bees,6.33333333333,5.88888888889,9.66666666667,7.77777777778,6.83333333333,10.1111111111,11.8888888889,10.5,5.66666666667,8.2962962963
364.l.8091.t.14,Browshakalaka,7.66666666667,7.88888888889,10.2777777778,10.0,8.77777777778,9.0,7.83333333333,8.33333333333,7.11111111111,8.54320987654
