,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
2,1,364.l.8091.t.2,#Hwaiting,59.0,95.0,0.621052631579,161.0,354.0,0.454802259887,70,409,192,92,37,26,70,14.0,9.0,4.0,13.0,8.0,2.0,4.5,5.0,11.0,0.537927445733
5,1,364.l.8091.t.5,D-League All-Stars,92.0,122.0,0.754098360656,167.0,386.0,0.432642487047,68,498,173,112,34,18,68,11.0,13.0,5.0,8.0,10.0,14.0,10.0,9.5,10.0,0.593370423851
6,1,364.l.8091.t.4,Cool Cats,97.0,128.0,0.7578125,195.0,446.0,0.437219730942,56,525,163,115,39,14,56,9.0,12.0,9.5,5.0,11.0,11.0,3.0,12.5,5.5,0.597516115471
7,1,364.l.8091.t.14,Browshakalaka,86.0,115.0,0.747826086957,203.0,447.0,0.454138702461,65,536,213,114,36,24,65,12.0,10.0,6.0,4.0,6.0,12.5,7.0,7.0,9.0,0.600982394709
11,1,364.l.8091.t.12,Valar Moredunkis,111.0,138.0,0.804347826087,161.0,403.0,0.399503722084,74,471,159,130,35,18,74,5.0,14.0,3.0,11.0,13.0,9.0,9.0,9.5,12.0,0.601925774086
4,1,364.l.8091.t.3,Forgot About Dray,82.0,111.0,0.738738738739,160.0,332.0,0.481927710843,82,419,291,131,41,35,82,13.0,3.0,1.0,12.0,2.0,8.0,2.0,1.5,14.0,0.610333224791
1,1,364.l.8091.t.7,One for the Mainland,136.0,173.0,0.78612716763,221.0,505.0,0.437623762376,78,628,240,98,36,27,78,6.0,11.0,2.0,1.0,3.0,1.0,7.0,4.0,13.0,0.611875465003
3,1,364.l.8091.t.6,Jimmy & Jimmy Co.,79.0,104.0,0.759615384615,183.0,388.0,0.471649484536,57,478,199,91,45,20,57,8.0,6.0,8.0,9.5,7.0,3.0,1.0,8.0,7.0,0.615632434576
9,1,364.l.8091.t.13,Vogelmagic,75.0,99.0,0.757575757576,197.0,413.0,0.476997578692,62,517,162,142,37,16,62,10.0,5.0,7.0,6.0,12.0,7.0,4.5,11.0,8.0,0.617286668134
13,1,364.l.8091.t.11,Icin On The Beefcake,95.0,123.0,0.772357723577,195.0,420.0,0.464285714286,56,506,214,116,26,29,56,7.0,7.0,9.5,7.0,5.0,10.0,14.0,3.0,5.5,0.618321718931
10,1,364.l.8091.t.9,Optimus Dimes,89.0,110.0,0.809090909091,170.0,371.0,0.458221024259,38,478,189,67,36,25,38,3.0,8.0,13.5,9.5,9.0,5.0,7.0,6.0,1.5,0.633655966675
8,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,97.0,120.0,0.808333333333,206.0,424.0,0.485849056604,45,546,215,70,29,35,45,4.0,2.0,12.0,3.0,4.0,4.0,12.0,1.5,3.0,0.647091194969
12,1,364.l.8091.t.10,Trinh,58.0,70.0,0.828571428571,133.0,276.0,0.481884057971,38,365,94,54,33,13,38,2.0,4.0,13.5,14.0,1.0,6.0,11.0,14.0,1.5,0.655227743271
0,1,364.l.8091.t.1,Adam Silver,88.0,101.0,0.871287128713,198.0,406.0,0.487684729064,46,548,158,114,27,14,46,1.0,1.0,11.0,2.0,14.0,12.5,13.0,12.5,4.0,0.679485928888
