,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
4,1,364.l.8091.t.3,Forgot About Dray,87.0,129.0,0.674418604651,155.0,313.0,0.495207667732,60,422,259,123,38,42,60,14.0,3.0,8.0,13.0,2.0,11.0,4.0,2.0,7.0,0.584813136191
11,1,364.l.8091.t.11,Icin On The Beefcake,93.0,126.0,0.738095238095,204.0,469.0,0.434968017058,77,542,220,148,31,28,77,12.0,12.0,2.0,5.0,4.0,6.0,9.5,4.0,13.0,0.586531627576
9,1,364.l.8091.t.12,Valar Moredunkis,82.0,109.0,0.752293577982,185.0,417.0,0.443645083933,58,493,191,131,35,27,58,10.0,11.0,10.5,10.0,6.0,8.5,5.5,5.5,4.5,0.597969330957
6,1,364.l.8091.t.7,One for the Mainland,79.0,108.0,0.731481481481,193.0,411.0,0.469586374696,55,531,158,81,20,19,55,13.0,7.0,12.0,7.0,12.0,4.0,14.0,9.0,3.0,0.600533928089
2,1,364.l.8091.t.2,#Hwaiting,66.0,88.0,0.75,192.0,411.0,0.467153284672,65,485,218,110,43,24,65,11.0,9.0,7.0,11.0,5.0,12.0,2.0,7.0,8.0,0.608576642336
13,1,364.l.8091.t.14,Browshakalaka,117.0,152.0,0.769736842105,209.0,446.0,0.468609865471,59,575,179,98,34,23,59,8.0,8.0,9.0,4.0,8.0,1.0,7.5,8.0,6.0,0.619173353788
7,1,364.l.8091.t.13,Vogelmagic,122.0,148.0,0.824324324324,190.0,453.0,0.419426048565,68,541,166,131,35,10,68,5.0,13.0,4.0,6.0,11.0,8.5,5.5,14.0,11.0,0.621875186445
5,1,364.l.8091.t.4,Cool Cats,114.0,135.0,0.844444444444,207.0,496.0,0.417338709677,74,585,182,124,39,16,74,2.0,14.0,3.0,3.0,7.0,10.0,3.0,12.0,12.0,0.630891577061
0,1,364.l.8091.t.1,Adam Silver,70.0,89.0,0.786516853933,193.0,401.0,0.481296758105,66,504,171,103,28,27,66,7.0,5.0,6.0,9.0,10.0,14.0,11.0,5.5,9.0,0.633906806019
12,1,364.l.8091.t.10,Trinh,53.0,69.0,0.768115942029,175.0,345.0,0.507246376812,58,471,146,106,31,17,58,9.0,1.0,10.5,12.0,14.0,13.0,9.5,11.0,4.5,0.63768115942
10,1,364.l.8091.t.9,Optimus Dimes,43.0,52.0,0.826923076923,157.0,328.0,0.478658536585,35,401,151,75,21,18,35,4.0,6.0,14.0,14.0,13.0,5.0,13.0,10.0,1.0,0.652790806754
1,1,364.l.8091.t.6,Jimmy & Jimmy Co.,75.0,93.0,0.806451612903,212.0,418.0,0.507177033493,54,530,261,92,45,44,54,6.0,2.0,13.0,8.0,1.0,2.0,1.0,1.0,2.0,0.656814323198
8,1,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,94.0,112.0,0.839285714286,227.0,462.0,0.491341991342,67,597,223,82,26,34,67,3.0,4.0,5.0,1.0,3.0,3.0,12.0,3.0,10.0,0.665313852814
3,1,364.l.8091.t.5,D-League All-Stars,128.0,146.0,0.876712328767,194.0,418.0,0.464114832536,89,594,174,138,34,13,89,1.0,10.0,1.0,2.0,9.0,7.0,7.5,13.0,14.0,0.670413580652
