team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,7.1875,7.3125,5.34375,4.1875,5.71875,7.0625,7.3125,5.59375,9.09375,6.53472222222
364.l.8091.t.3,Forgot About Dray,13.25,2.6875,12.3125,11.4375,1.5625,4.21875,5.1875,2.625,8.53125,6.86805555556
364.l.8091.t.5,D-League All-Stars,3.375,10.625,1.90625,5.59375,8.5,3.59375,7.75,10.0625,11.5625,6.99652777778
364.l.8091.t.11,Icin On The Beefcake,9.0,8.6875,7.40625,5.78125,5.1875,4.28125,8.25,4.75,11.34375,7.1875
364.l.8091.t.2,#Hwaiting,11.6875,4.8125,10.34375,7.65625,3.875,7.4375,5.53125,4.28125,9.6875,7.25694444444
364.l.8091.t.6,Jimmy & Jimmy Co.,7.125,7.5,10.3125,9.96875,7.03125,8.65625,3.03125,7.875,5.59375,7.45486111111
364.l.8091.t.10,Trinh,6.96875,6.5,3.25,8.75,12.0625,10.46875,7.125,8.78125,3.65625,7.50694444444
364.l.8091.t.12,Valar Moredunkis,5.4375,9.0625,8.3125,6.875,9.46875,5.90625,6.75,9.46875,6.8125,7.56597222222
364.l.8091.t.4,Cool Cats,4.375,10.9375,5.90625,4.15625,8.8125,6.40625,7.09375,11.125,10.21875,7.67013888889
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,8.625,5.125,8.65625,8.15625,7.1875,12.25,10.9375,4.09375,4.1875,7.69097222222
364.l.8091.t.9,Stream Team,7.25,8.0625,9.09375,10.71875,7.84375,8.0,6.46875,8.40625,5.3125,7.90625
364.l.8091.t.1,Adam Silver,5.71875,9.25,3.25,5.75,11.34375,9.40625,10.15625,10.0,6.71875,7.95486111111
364.l.8091.t.14,Browshakalaka,8.0,7.9375,9.46875,7.65625,7.4375,8.1875,8.71875,7.59375,6.96875,7.99652777778
364.l.8091.t.13,Harry B's Hairy Bees,7.0,6.5,9.4375,8.3125,8.96875,9.125,10.6875,10.34375,5.3125,8.40972222222
