team_key,name,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
364.l.8091.t.7,One for the Mainland,6.66666666667,7.83333333333,5.33333333333,3.66666666667,4.16666666667,5.66666666667,6.33333333333,4.25,10.8333333333,6.08333333333
364.l.8091.t.12,Valar Moredunkis,3.83333333333,6.5,7.08333333333,5.16666666667,9.5,6.75,8.25,8.83333333333,5.16666666667,6.78703703704
364.l.8091.t.2,#Hwaiting,11.5,5.5,10.25,7.08333333333,2.5,6.25,5.58333333333,3.08333333333,9.66666666667,6.82407407407
364.l.8091.t.10,Trinh,7.25,7.16666666667,2.5,7.66666666667,11.1666666667,10.3333333333,7.08333333333,6.58333333333,3.75,7.05555555556
364.l.8091.t.5,D-League All-Stars,2.33333333333,11.0,2.16666666667,5.75,8.0,3.5,7.5,10.5,12.9166666667,7.07407407407
364.l.8091.t.3,Forgot About Dray,12.8333333333,3.66666666667,13.0833333333,12.1666666667,1.83333333333,2.33333333333,7.16666666667,2.66666666667,8.08333333333,7.09259259259
364.l.8091.t.11,Icin On The Beefcake,11.0,9.5,5.5,4.58333333333,5.83333333333,4.41666666667,5.25,6.75,12.5833333333,7.26851851852
364.l.8091.t.6,Jimmy & Jimmy Co.,6.66666666667,7.16666666667,10.6666666667,10.6666666667,6.58333333333,8.16666666667,3.16666666667,7.5,5.75,7.37037037037
364.l.8091.t.9,Stream Team,8.33333333333,9.0,7.75,9.0,9.75,5.16666666667,4.66666666667,9.5,6.0,7.68518518519
364.l.8091.t.1,Adam Silver,5.91666666667,8.66666666667,3.5,5.16666666667,12.1666666667,11.5,9.33333333333,8.5,4.75,7.72222222222
364.l.8091.t.4,Cool Cats,4.33333333333,9.5,6.0,5.08333333333,8.83333333333,8.5,9.16666666667,11.75,9.58333333333,8.08333333333
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,10.0,6.16666666667,9.25,9.0,9.83333333333,11.5,11.6666666667,4.58333333333,4.33333333333,8.48148148148
364.l.8091.t.13,Harry B's Hairy Bees,6.5,5.33333333333,10.5833333333,9.0,6.0,12.1666666667,11.9166666667,11.5833333333,4.16666666667,8.58333333333
364.l.8091.t.14,Browshakalaka,7.83333333333,8.0,11.3333333333,11.0,8.83333333333,8.75,7.91666666667,8.91666666667,7.41666666667,8.88888888889
