first_name,last_name,position,team,timestamp,type
Sean,Kilpatrick,SG,Adam Silver,"Thu, 24 Mar 2016 03:44:52",drop
Sean,Kilpatrick,SG,Adam Silver,"Thu, 24 Mar 2016 00:50:05",add
Omer,Asik,"PF,C",Adam Silver,"Thu, 24 Mar 2016 00:50:05",drop
Omer,Asik,"PF,C",Adam Silver,"Mon, 21 Mar 2016 23:46:35",add
Tyson,Chandler,C,Adam Silver,"Mon, 21 Mar 2016 23:46:35",drop
Deron,Williams,PG,#Hwaiting,"Mon, 21 Mar 2016 04:32:27",add
Miles,Plumlee,"PF,C",#Hwaiting,"Mon, 21 Mar 2016 04:32:27",drop
Thabo,Sefolosha,"SG,SF",#Hwaiting,"Sun, 20 Mar 2016 22:01:13",add
Cole,Aldrich,C,#Hwaiting,"Sun, 20 Mar 2016 22:01:13",drop
Bojan,Bogdanovic,"SG,SF",Valar Moredunkis,"Sun, 20 Mar 2016 20:10:03",add
J.R.,Smith,"SG,SF",Valar Moredunkis,"Sun, 20 Mar 2016 20:10:03",drop
Zach,Randolph,"PF,C",Adam Silver,"Sun, 20 Mar 2016 19:10:42",add
Jonas,Valanciunas,C,Adam Silver,"Sun, 20 Mar 2016 19:10:42",drop
John,Henson,"PF,C",Cool Cats,"Sat, 19 Mar 2016 23:11:54",add
Al,Jefferson,"PF,C",Cool Cats,"Sat, 19 Mar 2016 23:11:54",drop
Cole,Aldrich,C,#Hwaiting,"Sat, 19 Mar 2016 22:18:02",add
Tony,Allen,"SG,SF",#Hwaiting,"Sat, 19 Mar 2016 22:18:02",drop
Miles,Plumlee,"PF,C",#Hwaiting,"Sat, 19 Mar 2016 22:09:17",add
JaMychal,Green,PF,#Hwaiting,"Sat, 19 Mar 2016 22:09:17",drop
Al,Jefferson,"PF,C",Cool Cats,"Sat, 19 Mar 2016 02:59:35",add
Tim,Duncan,"PF,C",Cool Cats,"Sat, 19 Mar 2016 02:59:35",drop
Marreese,Speights,"PF,C",BDD,"Sat, 19 Mar 2016 02:40:14",add
Andrew,Bogut,C,BDD,"Sat, 19 Mar 2016 02:40:14",drop
Arron,Afflalo,"SG,SF",BDD,"Sat, 19 Mar 2016 02:31:56",add
Patrick,Patterson,"PF,C",BDD,"Sat, 19 Mar 2016 02:31:56",drop
D.J.,Augustin,PG,#Hwaiting,"Sat, 19 Mar 2016 01:32:37",add
Deron,Williams,PG,#Hwaiting,"Sat, 19 Mar 2016 01:32:37",drop
Tony,Allen,"SG,SF",#Hwaiting,"Sat, 19 Mar 2016 01:20:04",add
Mason,Plumlee,"PF,C",#Hwaiting,"Sat, 19 Mar 2016 01:20:04",drop
