,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
2,7,364.l.8091.t.2,#Hwaiting,154.0,202.0,0.762376237624,253.0,520.0,0.486538461538,40.0,700.0,313.0,114.0,46.0,43.0,72.0,10.0,2.0,10.0,2.0,1.0,10.0,2.0,1.0,10.0,5.33333333333
0,7,364.l.8091.t.1,Adam Silver,127.0,157.0,0.808917197452,218.0,475.0,0.458947368421,57.0,620.0,226.0,113.0,37.0,28.0,79.0,3.0,6.0,5.0,4.0,5.0,11.0,7.0,4.5,12.0,6.38888888889
7,7,364.l.8091.t.5,D-League All-Stars,153.0,182.0,0.840659340659,209.0,467.0,0.447537473233,70.0,641.0,195.0,174.0,44.0,12.0,84.0,1.0,10.0,1.0,3.0,11.0,1.0,3.0,13.5,14.0,6.38888888889
3,7,364.l.8091.t.7,One for the Mainland,152.0,191.0,0.795811518325,246.0,516.0,0.476744186047,60.0,704.0,252.0,108.0,29.0,28.0,82.0,8.0,3.0,3.0,1.0,3.0,12.0,10.5,4.5,13.0,6.44444444444
11,7,364.l.8091.t.12,Valar Moredunkis,110.0,138.0,0.797101449275,205.0,431.0,0.475638051044,36.0,556.0,208.0,117.0,43.0,19.0,67.0,7.0,4.0,13.0,6.0,9.0,7.0,4.0,10.0,4.0,7.11111111111
9,7,364.l.8091.t.13,Harry B's Hairy Bees,83.0,110.0,0.754545454545,220.0,470.0,0.468085106383,54.0,577.0,180.0,129.0,28.0,20.0,68.0,12.0,5.0,6.0,5.0,14.0,2.0,12.0,8.0,5.0,7.66666666667
8,7,364.l.8091.t.9,Stream Team,77.0,98.0,0.785714285714,184.0,435.0,0.422988505747,58.0,503.0,223.0,122.0,32.0,21.0,71.0,9.0,13.0,4.0,12.0,6.0,4.0,9.0,6.0,9.0,8.0
12,7,364.l.8091.t.11,Icin On The Beefcake,90.0,119.0,0.756302521008,184.0,411.0,0.447688564477,49.0,507.0,213.0,121.0,29.0,29.0,70.0,11.0,9.0,8.0,11.0,7.0,5.0,10.5,3.0,7.5,8.0
5,7,364.l.8091.t.6,Jimmy & Jimmy Co.,116.0,144.0,0.805555555556,190.0,438.0,0.433789954338,37.0,533.0,202.0,118.0,47.0,20.0,73.0,4.0,11.0,11.5,10.0,10.0,6.0,1.0,8.0,11.0,8.05555555556
1,7,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,83.0,112.0,0.741071428571,211.0,462.0,0.45670995671,45.0,550.0,231.0,77.0,20.0,37.0,63.0,13.0,7.0,9.0,8.5,4.0,14.0,14.0,2.0,2.0,8.16666666667
4,7,364.l.8091.t.3,Forgot About Dray,75.0,112.0,0.669642857143,162.0,320.0,0.50625,30.0,429.0,261.0,116.0,42.0,20.0,70.0,14.0,1.0,14.0,14.0,2.0,8.5,5.0,8.0,7.5,8.22222222222
6,7,364.l.8091.t.4,Cool Cats,122.0,153.0,0.797385620915,191.0,475.0,0.402105263158,50.0,554.0,187.0,123.0,38.0,12.0,69.0,6.0,14.0,7.0,7.0,12.0,3.0,6.0,13.5,6.0,8.27777777778
10,7,364.l.8091.t.10,Trinh,95.0,117.0,0.811965811966,163.0,382.0,0.426701570681,65.0,486.0,183.0,100.0,33.0,15.0,50.0,2.0,12.0,2.0,13.0,13.0,13.0,8.0,11.5,1.0,8.38888888889
13,7,364.l.8091.t.14,Boomshakalaka,103.0,129.0,0.798449612403,205.0,453.0,0.452538631347,37.0,550.0,212.0,116.0,27.0,15.0,66.0,5.0,8.0,11.5,8.5,8.0,8.5,13.0,11.5,3.0,8.55555555556
