,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
8,17,364.l.8091.t.7,One for the Mainland,197.0,248.0,0.79435483871,289.0,631.0,0.458003169572,74.0,849.0,275.0,170.0,63.0,32.0,94.0,7.0,8.0,3.0,1.0,4.0,1.0,1.0,2.0,12.0,4.33333333333
1,17,364.l.8091.t.5,D-League All-Stars,96.0,117.0,0.820512820513,236.0,494.0,0.477732793522,85.0,653.0,216.0,145.0,44.0,21.0,77.0,3.0,6.0,1.0,5.0,9.0,6.0,5.0,10.0,7.5,5.83333333333
4,17,364.l.8091.t.3,Forgot About Dray,106.0,154.0,0.688311688312,233.0,458.0,0.508733624454,37.0,609.0,369.0,161.0,57.0,30.0,101.0,14.0,2.0,10.5,7.0,1.0,2.0,3.0,4.0,13.5,6.33333333333
12,17,364.l.8091.t.9,Stream Team,88.0,105.0,0.838095238095,188.0,406.0,0.463054187192,30.0,494.0,289.0,131.0,52.0,38.0,79.0,1.0,7.0,13.0,12.0,2.0,10.0,4.0,1.0,9.0,6.55555555556
3,17,364.l.8091.t.4,Cool Cats,109.0,137.0,0.795620437956,261.0,575.0,0.453913043478,67.0,698.0,240.0,153.0,41.0,22.0,101.0,5.0,9.0,5.0,2.0,7.0,4.0,7.5,8.0,13.5,6.77777777778
13,17,364.l.8091.t.10,Trinh,117.0,145.0,0.806896551724,252.0,522.0,0.48275862069,69.0,690.0,175.0,128.0,37.0,21.0,62.0,4.0,4.0,4.0,3.0,14.0,11.0,9.0,10.0,3.0,6.88888888889
5,17,364.l.8091.t.14,Boomshakalaka,123.0,165.0,0.745454545455,247.0,513.0,0.481481481481,53.0,670.0,287.0,133.0,29.0,27.0,73.0,12.0,5.0,7.0,4.0,3.0,9.0,13.5,5.0,6.0,7.16666666667
9,17,364.l.8091.t.12,Valar Moredunkis,153.0,185.0,0.827027027027,202.0,451.0,0.447893569845,58.0,615.0,179.0,136.0,43.0,14.0,69.0,2.0,10.0,6.0,6.0,12.0,8.0,6.0,13.0,5.0,7.55555555556
11,17,364.l.8091.t.11,Icin On The Beefcake,110.0,143.0,0.769230769231,219.0,494.0,0.443319838057,41.0,589.0,257.0,150.0,41.0,25.0,90.0,11.0,11.0,8.5,9.0,5.0,5.0,7.5,6.0,10.0,8.11111111111
6,17,364.l.8091.t.6,Jimmy & Jimmy Co.,117.0,148.0,0.790540540541,217.0,493.0,0.440162271805,41.0,592.0,223.0,154.0,60.0,15.0,91.0,8.0,13.0,8.5,8.0,8.0,3.0,2.0,12.0,11.0,8.16666666667
10,17,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,70.0,89.0,0.786516853933,193.0,379.0,0.509234828496,37.0,493.0,182.0,72.0,33.0,31.0,67.0,9.0,1.0,10.5,13.0,11.0,13.0,11.0,3.0,4.0,8.38888888889
0,17,364.l.8091.t.1,Adam Silver,97.0,122.0,0.795081967213,196.0,511.0,0.383561643836,77.0,566.0,177.0,90.0,36.0,13.0,61.0,6.0,14.0,2.0,10.0,13.0,12.0,10.0,14.0,2.0,9.22222222222
2,17,364.l.8091.t.2,#Hwaiting,84.0,120.0,0.7,199.0,400.0,0.4975,31.0,513.0,242.0,141.0,29.0,21.0,77.0,13.0,3.0,12.0,11.0,6.0,7.0,13.5,10.0,7.5,9.22222222222
7,17,364.l.8091.t.13,Harry B's Hairy Bees,84.0,108.0,0.777777777778,164.0,371.0,0.44204851752,28.0,440.0,197.0,46.0,32.0,23.0,57.0,10.0,12.0,14.0,14.0,10.0,14.0,12.0,7.0,1.0,10.4444444444
