,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
3,19,364.l.8091.t.6,Jimmy & Jimmy Co.,33.0,38.0,0.868421052631579,39.0,79.0,0.4936708860759494,7.0,118.0,38.0,25.0,7.0,6.0,12.0,3.0,4.0,10.5,1.0,4.5,2.0,2.5,2.5,9.0,4.333333333333333
13,19,364.l.8091.t.11,Icin On The Beefcake,12.0,16.0,0.75,38.0,85.0,0.4470588235294118,12.0,100.0,38.0,18.0,3.0,4.0,9.0,10.5,9.0,2.0,5.0,4.5,7.0,11.0,6.0,3.5,6.5
7,19,364.l.8091.t.14,Boomshakalaka,18.0,21.0,0.8571428571428571,37.0,83.0,0.4457831325301205,9.0,101.0,34.0,24.0,3.0,4.0,11.0,5.0,10.0,7.0,4.0,7.0,3.0,11.0,6.0,7.0,6.666666666666667
11,19,364.l.8091.t.12,Valar Moredunkis,15.0,19.0,0.7894736842105263,34.0,70.0,0.4857142857142857,11.0,94.0,35.0,31.0,2.0,2.0,11.0,8.0,6.0,3.0,6.5,6.0,1.0,13.0,10.0,7.0,6.722222222222222
12,19,364.l.8091.t.10,Trinh,31.0,36.0,0.8611111111111112,34.0,77.0,0.44155844155844154,9.0,108.0,23.0,19.0,4.0,2.0,10.0,4.0,11.0,7.0,2.0,12.0,5.0,8.5,10.0,5.0,7.166666666666667
4,19,364.l.8091.t.3,Forgot About Dray,17.0,30.0,0.5666666666666667,25.0,38.0,0.6578947368421053,7.0,74.0,59.0,15.0,10.0,5.0,13.0,14.0,1.0,10.5,13.0,1.0,11.0,1.0,4.0,10.5,7.333333333333333
2,19,364.l.8091.t.2,#Hwaiting,22.0,35.0,0.6285714285714286,38.0,91.0,0.4175824175824176,6.0,104.0,56.0,19.0,5.0,10.0,16.0,13.0,13.0,12.0,3.0,2.0,5.0,6.0,1.0,13.0,7.555555555555555
9,19,364.l.8091.t.13,Harry B's Hairy Bees,6.0,8.0,0.75,36.0,75.0,0.48,9.0,87.0,46.0,17.0,3.0,4.0,11.0,10.5,7.0,7.0,9.0,3.0,8.0,11.0,6.0,7.0,7.611111111111111
8,19,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,22.0,28.0,0.7857142857142857,28.0,61.0,0.45901639344262296,5.0,83.0,33.0,9.0,5.0,6.0,5.0,9.0,8.0,13.0,11.0,8.0,14.0,6.0,2.5,2.0,8.166666666666666
1,19,364.l.8091.t.7,One for the Mainland,22.0,24.0,0.9166666666666666,31.0,87.0,0.3563218390804598,8.0,92.0,29.0,16.0,7.0,2.0,13.0,2.0,14.0,9.0,8.0,9.0,9.5,2.5,10.0,10.5,8.277777777777779
0,19,364.l.8091.t.1,Adam Silver,12.0,15.0,0.8,29.0,56.0,0.5178571428571429,15.0,85.0,15.0,16.0,1.0,0.0,9.0,7.0,3.0,1.0,10.0,13.0,9.5,14.0,14.0,3.5,8.333333333333334
5,19,364.l.8091.t.5,D-League All-Stars,15.0,18.0,0.8333333333333334,28.0,53.0,0.5283018867924528,10.0,81.0,14.0,19.0,4.0,2.0,17.0,6.0,2.0,4.5,12.0,14.0,5.0,8.5,10.0,14.0,8.444444444444445
6,19,364.l.8091.t.4,Cool Cats,12.0,17.0,0.7058823529411765,36.0,73.0,0.4931506849315068,10.0,94.0,26.0,14.0,6.0,2.0,15.0,12.0,5.0,4.5,6.5,11.0,12.0,4.0,10.0,12.0,8.555555555555555
10,19,364.l.8091.t.9,Stream Team,3.0,3.0,1.0,11.0,26.0,0.4230769230769231,3.0,28.0,27.0,12.0,5.0,1.0,4.0,1.0,12.0,14.0,14.0,10.0,13.0,6.0,13.0,1.0,9.333333333333334
