,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
10,2,364.l.8091.t.7,One for the Mainland,137.0,177.0,0.774011299435,246.0,498.0,0.493975903614,54.0,683.0,232.0,100.0,39.0,21.0,71.0,8.0,3.0,3.0,1.0,2.0,7.0,7.0,8.0,7.5,5.16666666667
12,2,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,79.0,107.0,0.738317757009,202.0,402.0,0.502487562189,41.0,524.0,184.0,70.0,40.0,27.0,68.0,10.0,2.0,5.5,5.0,8.0,14.0,5.0,4.0,5.0,6.5
0,2,364.l.8091.t.1,Adam Silver,86.0,107.0,0.803738317757,200.0,455.0,0.43956043956,74.0,560.0,201.0,109.0,35.0,23.0,74.0,6.0,8.0,1.0,3.0,7.0,4.0,12.0,7.0,11.0,6.55555555556
7,2,364.l.8091.t.12,Valar Moredunkis,123.0,167.0,0.736526946108,193.0,433.0,0.445727482679,35.0,544.0,208.0,111.0,53.0,30.0,79.0,11.0,7.0,12.0,4.0,5.0,3.0,1.0,3.0,13.0,6.55555555556
2,2,364.l.8091.t.2,#Hwaiting,101.0,131.0,0.770992366412,173.0,384.0,0.450520833333,36.0,483.0,207.0,92.0,45.0,33.0,73.0,9.0,5.0,10.5,7.0,6.0,11.0,2.0,2.0,9.5,6.88888888889
9,2,364.l.8091.t.11,Icin On The Beefcake,110.0,140.0,0.785714285714,164.0,382.0,0.429319371728,40.0,478.0,215.0,125.0,36.0,24.0,73.0,7.0,9.0,7.5,9.0,4.0,1.0,11.0,5.5,9.5,7.05555555556
1,2,364.l.8091.t.3,Forgot About Dray,87.0,138.0,0.630434782609,163.0,309.0,0.527508090615,20.0,433.0,261.0,80.0,39.0,40.0,57.0,14.0,1.0,14.0,13.0,1.0,13.0,7.0,1.0,3.0,7.44444444444
13,2,364.l.8091.t.9,Stream Team,112.0,130.0,0.861538461538,170.0,405.0,0.41975308642,29.0,481.0,228.0,99.0,37.0,18.0,55.0,1.0,13.0,13.0,8.0,3.0,8.0,10.0,10.0,2.0,7.55555555556
4,2,364.l.8091.t.4,Cool Cats,138.0,163.0,0.846625766871,207.0,487.0,0.425051334702,41.0,593.0,179.0,108.0,39.0,13.0,80.0,2.0,11.0,5.5,2.0,9.0,5.0,7.0,13.0,14.0,7.61111111111
5,2,364.l.8091.t.13,Harry B's Hairy Bees,102.0,124.0,0.822580645161,174.0,387.0,0.449612403101,40.0,490.0,145.0,115.0,32.0,17.0,77.0,3.0,6.0,7.5,6.0,12.0,2.0,13.0,11.0,12.0,8.05555555556
3,2,364.l.8091.t.14,Boomshakalaka,75.0,92.0,0.815217391304,156.0,365.0,0.427397260274,36.0,423.0,175.0,96.0,42.0,24.0,71.0,5.0,10.0,10.5,14.0,11.0,9.5,3.0,5.5,7.5,8.44444444444
6,2,364.l.8091.t.5,D-League All-Stars,96.0,117.0,0.820512820513,149.0,358.0,0.416201117318,56.0,450.0,125.0,104.0,28.0,15.0,50.0,4.0,14.0,2.0,11.0,14.0,6.0,14.0,12.0,1.0,8.66666666667
11,2,364.l.8091.t.10,Trinh,60.0,82.0,0.731707317073,166.0,395.0,0.420253164557,42.0,434.0,142.0,96.0,41.0,20.0,69.0,12.0,12.0,4.0,12.0,13.0,9.5,4.0,9.0,6.0,9.05555555556
8,2,364.l.8091.t.6,Jimmy & Jimmy Co.,68.0,98.0,0.69387755102,175.0,377.0,0.464190981432,38.0,456.0,177.0,91.0,38.0,10.0,64.0,13.0,4.0,9.0,10.0,10.0,12.0,9.0,14.0,4.0,9.44444444444
