,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
9,15,364.l.8091.t.11,Icin On The Beefcake,117.0,139.0,0.841726618705,198.0,440.0,0.45,57.0,570.0,215.0,124.0,37.0,30.0,65.0,2.0,8.0,1.5,1.0,2.0,3.5,6.0,2.5,8.0,3.83333333333
1,15,364.l.8091.t.3,Forgot About Dray,79.0,109.0,0.724770642202,196.0,393.0,0.498727735369,47.0,518.0,280.0,140.0,53.0,36.0,74.0,12.0,2.0,7.0,5.0,1.0,2.0,1.0,1.0,13.0,4.88888888889
10,15,364.l.8091.t.7,One for the Mainland,128.0,161.0,0.795031055901,178.0,403.0,0.441687344913,55.0,539.0,212.0,121.0,36.0,18.0,69.0,7.0,11.0,4.0,3.0,3.5,5.0,7.0,7.0,12.0,6.61111111111
6,15,364.l.8091.t.5,D-League All-Stars,104.0,128.0,0.8125,178.0,412.0,0.432038834951,57.0,517.0,176.0,124.0,42.0,13.0,67.0,5.0,12.0,1.5,6.0,9.0,3.5,3.0,11.0,10.0,6.77777777778
2,15,364.l.8091.t.2,#Hwaiting,64.0,93.0,0.688172043011,173.0,340.0,0.508823529412,24.0,434.0,206.0,108.0,39.0,28.0,68.0,14.0,1.0,11.5,9.0,5.0,7.5,4.0,4.0,11.0,7.44444444444
12,15,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,75.0,91.0,0.824175824176,165.0,349.0,0.472779369628,24.0,429.0,167.0,75.0,32.0,20.0,37.0,3.0,4.0,11.5,12.0,10.0,13.0,9.0,6.0,1.0,7.72222222222
4,15,364.l.8091.t.4,Cool Cats,131.0,161.0,0.813664596273,181.0,433.0,0.418013856813,52.0,545.0,166.0,108.0,38.0,16.0,82.0,4.0,13.0,6.0,2.0,11.0,7.5,5.0,9.0,14.0,7.94444444444
13,15,364.l.8091.t.9,Stream Team,69.0,95.0,0.726315789474,168.0,373.0,0.450402144772,22.0,427.0,195.0,147.0,33.0,30.0,66.0,11.0,7.0,14.0,13.0,6.0,1.0,8.0,2.5,9.0,7.94444444444
5,15,364.l.8091.t.13,Harry B's Hairy Bees,81.0,106.0,0.764150943396,194.0,402.0,0.482587064677,23.0,492.0,212.0,57.0,20.0,21.0,49.0,10.0,3.0,13.0,7.0,3.5,14.0,14.0,5.0,3.0,8.05555555556
11,15,364.l.8091.t.10,Trinh,63.0,79.0,0.79746835443,156.0,330.0,0.472727272727,56.0,431.0,162.0,87.0,28.0,12.0,42.0,6.0,5.0,3.0,10.0,12.0,11.0,11.5,12.0,2.0,8.05555555556
0,15,364.l.8091.t.1,Adam Silver,106.0,135.0,0.785185185185,184.0,412.0,0.446601941748,53.0,527.0,150.0,117.0,28.0,9.0,50.0,8.0,9.0,5.0,4.0,13.0,6.0,11.5,13.0,4.0,8.16666666667
3,15,364.l.8091.t.14,Boomshakalaka,91.0,119.0,0.764705882353,165.0,354.0,0.466101694915,32.0,453.0,179.0,81.0,31.0,17.0,52.0,9.0,6.0,9.0,8.0,8.0,12.0,10.0,8.0,5.0,8.33333333333
8,15,364.l.8091.t.6,Jimmy & Jimmy Co.,70.0,98.0,0.714285714286,166.0,375.0,0.442666666667,28.0,430.0,186.0,94.0,43.0,14.0,56.0,13.0,10.0,10.0,11.0,7.0,10.0,2.0,10.0,7.0,8.88888888889
7,15,364.l.8091.t.12,Valar Moredunkis,96.0,108.0,0.888888888889,126.0,318.0,0.396226415094,39.0,387.0,142.0,99.0,25.0,8.0,55.0,1.0,14.0,8.0,14.0,14.0,9.0,13.0,14.0,6.0,10.3333333333
