,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
8,6,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,97.0,120.0,0.808333333333,206.0,424.0,0.485849056604,37.0,546.0,215.0,70.0,29.0,35.0,45.0,4.0,2.0,10.0,3.0,3.0,12.0,12.0,1.5,3.0,5.61111111111
0,6,364.l.8091.t.1,Adam Silver,88.0,101.0,0.871287128713,198.0,406.0,0.487684729064,64.0,548.0,158.0,114.0,27.0,14.0,46.0,1.0,1.0,2.0,2.0,13.0,6.5,13.0,12.5,4.0,6.11111111111
1,6,364.l.8091.t.7,One for the Mainland,136.0,173.0,0.78612716763,221.0,505.0,0.437623762376,50.0,628.0,240.0,98.0,36.0,27.0,78.0,6.0,11.0,3.0,1.0,2.0,9.0,7.0,4.0,13.0,6.22222222222
10,6,364.l.8091.t.9,Stream Team,89.0,110.0,0.809090909091,170.0,371.0,0.458221024259,49.0,478.0,189.0,67.0,36.0,25.0,38.0,3.0,8.0,4.0,9.5,8.0,13.0,7.0,6.0,1.5,6.66666666667
9,6,364.l.8091.t.13,Harry B's Hairy Bees,75.0,99.0,0.757575757576,197.0,413.0,0.476997578692,48.0,517.0,162.0,142.0,37.0,16.0,62.0,10.0,5.0,5.0,6.0,11.0,1.0,4.5,11.0,8.0,6.83333333333
4,6,364.l.8091.t.3,Forgot About Dray,82.0,111.0,0.738738738739,160.0,332.0,0.481927710843,17.0,419.0,291.0,131.0,41.0,35.0,82.0,13.0,3.0,14.0,12.0,1.0,2.0,2.0,1.5,14.0,6.94444444444
13,6,364.l.8091.t.11,Icin On The Beefcake,95.0,123.0,0.772357723577,195.0,420.0,0.464285714286,21.0,506.0,214.0,116.0,26.0,29.0,56.0,7.0,7.0,13.0,7.0,4.0,4.0,14.0,3.0,5.5,7.16666666667
7,6,364.l.8091.t.14,Boomshakalaka,86.0,115.0,0.747826086957,203.0,447.0,0.454138702461,44.0,536.0,213.0,114.0,36.0,24.0,65.0,12.0,10.0,6.0,4.0,5.0,6.5,7.0,7.0,9.0,7.38888888889
3,6,364.l.8091.t.6,Jimmy & Jimmy Co.,79.0,104.0,0.759615384615,183.0,388.0,0.471649484536,33.0,478.0,199.0,91.0,45.0,20.0,57.0,8.0,6.0,11.0,9.5,6.0,11.0,1.0,8.0,7.0,7.5
6,6,364.l.8091.t.4,Cool Cats,97.0,128.0,0.7578125,195.0,446.0,0.437219730942,38.0,525.0,163.0,115.0,39.0,14.0,56.0,9.0,12.0,8.5,5.0,10.0,5.0,3.0,12.5,5.5,7.83333333333
5,6,364.l.8091.t.5,D-League All-Stars,92.0,122.0,0.754098360656,167.0,386.0,0.432642487047,72.0,498.0,173.0,112.0,34.0,18.0,68.0,11.0,13.0,1.0,8.0,9.0,8.0,10.0,9.5,10.0,8.83333333333
12,6,364.l.8091.t.10,Trinh,58.0,70.0,0.828571428571,133.0,276.0,0.481884057971,41.0,365.0,94.0,54.0,33.0,13.0,38.0,2.0,4.0,7.0,14.0,14.0,14.0,11.0,14.0,1.5,9.05555555556
11,6,364.l.8091.t.12,Valar Moredunkis,111.0,138.0,0.804347826087,161.0,403.0,0.399503722084,38.0,471.0,159.0,130.0,35.0,18.0,74.0,5.0,14.0,8.5,11.0,12.0,3.0,9.0,9.5,12.0,9.33333333333
2,6,364.l.8091.t.2,#Hwaiting,59.0,95.0,0.621052631579,161.0,354.0,0.454802259887,28.0,409.0,192.0,92.0,37.0,26.0,70.0,14.0,9.0,12.0,13.0,7.0,10.0,4.5,5.0,11.0,9.5
