,week,team_key,name,ftm,fta,ftp,fgm,fga,fgp,_3p,pts,reb,ast,stl,blk,tos,ftp_rank,fgp_rank,_3p_rank,pts_rank,reb_rank,ast_rank,stl_rank,blk_rank,tos_rank,power_rank
6,3,364.l.8091.t.6,Jimmy & Jimmy Co.,111.0,128.0,0.8671875,194.0,417.0,0.465227817746,41.0,540.0,170.0,124.0,50.0,14.0,57.0,2.0,5.0,7.0,6.0,12.0,6.0,1.0,12.0,2.5,5.94444444444
1,3,364.l.8091.t.4,Cool Cats,142.0,162.0,0.876543209877,210.0,467.0,0.449678800857,41.0,603.0,212.0,125.0,34.0,14.0,68.0,1.0,10.0,7.0,1.0,5.0,5.0,8.5,12.0,9.5,6.55555555556
2,3,364.l.8091.t.2,#Hwaiting,80.0,100.0,0.8,203.0,417.0,0.486810551559,38.0,524.0,223.0,87.0,49.0,31.0,84.0,7.0,3.0,10.0,8.0,3.0,11.0,2.0,3.0,14.0,6.77777777778
8,3,364.l.8091.t.7,One for the Mainland,104.0,132.0,0.787878787879,210.0,453.0,0.46357615894,41.0,565.0,194.0,88.0,35.0,25.0,57.0,10.0,8.0,7.0,4.0,8.0,10.0,6.5,5.0,2.5,6.77777777778
13,3,364.l.8091.t.14,Boomshakalaka,106.0,133.0,0.796992481203,217.0,468.0,0.463675213675,44.0,584.0,197.0,108.0,33.0,22.0,64.0,8.0,7.0,5.0,2.0,7.0,7.0,10.0,8.0,7.0,6.77777777778
11,3,364.l.8091.t.10,Trinh,64.0,88.0,0.727272727273,195.0,375.0,0.52,63.0,517.0,152.0,75.0,38.0,25.0,62.0,13.0,1.0,1.0,9.0,14.0,12.0,4.0,5.0,4.0,7.0
5,3,364.l.8091.t.13,Harry B's Hairy Bees,111.0,132.0,0.840909090909,205.0,466.0,0.43991416309,56.0,577.0,172.0,135.0,34.0,19.0,71.0,5.0,12.0,3.0,3.0,10.0,2.0,8.5,9.0,11.0,7.05555555556
3,3,364.l.8091.t.3,Forgot About Dray,85.0,135.0,0.62962962963,154.0,314.0,0.490445859873,26.0,419.0,245.0,97.0,37.0,37.0,63.0,14.0,2.0,14.0,14.0,1.0,9.0,5.0,1.0,5.5,7.27777777778
9,3,364.l.8091.t.11,Icin On The Beefcake,111.0,145.0,0.765517241379,203.0,456.0,0.445175438596,36.0,553.0,242.0,131.0,32.0,36.0,80.0,11.0,11.0,11.5,5.0,2.0,3.0,11.0,2.0,13.0,7.72222222222
4,3,364.l.8091.t.5,D-League All-Stars,100.0,116.0,0.862068965517,166.0,398.0,0.417085427136,55.0,487.0,201.0,149.0,31.0,18.0,72.0,3.0,14.0,4.0,12.0,6.0,1.0,12.0,10.0,12.0,8.22222222222
7,3,364.l.8091.t.12,Valar Moredunkis,132.0,162.0,0.814814814815,179.0,395.0,0.453164556962,39.0,529.0,171.0,126.0,35.0,13.0,67.0,6.0,9.0,9.0,7.0,11.0,4.0,6.5,14.0,8.0,8.27777777778
10,3,364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,73.0,92.0,0.79347826087,197.0,424.0,0.464622641509,36.0,503.0,221.0,65.0,28.0,25.0,49.0,9.0,6.0,11.5,11.0,4.0,14.0,13.0,5.0,1.0,8.27777777778
12,3,364.l.8091.t.9,Stream Team,58.0,77.0,0.753246753247,169.0,355.0,0.476056338028,28.0,424.0,188.0,74.0,41.0,24.0,63.0,12.0,4.0,13.0,13.0,9.0,13.0,3.0,7.0,5.5,8.83333333333
0,3,364.l.8091.t.1,Adam Silver,95.0,112.0,0.848214285714,179.0,413.0,0.433414043584,62.0,515.0,157.0,103.0,24.0,14.0,68.0,4.0,13.0,2.0,10.0,13.0,8.0,14.0,12.0,9.5,9.5
